group1,group2,coverage_gained_1,coverage_gained_2,p-value,threshold,method,adjustment
M_other_Long_Action,M_25-34_executive-managerial_Long,0.295,0.36,0.0,-1,Traditional,Benjamini
M_45-49_executive-managerial_Long,F_executive-managerial_Drama,0.295,0.365,0.0,-1,Traditional,Benjamini
M_other_Long_Action,M_18-24_Long_Sci-Fi,0.295,0.365,0.0,-1,Traditional,Benjamini
18-24_sales-marketing_Long,18-24_Long_Children's,0.295,0.37,0.0,-1,Traditional,Benjamini
18-24_sales-marketing_Long,other_Long_Horror,0.295,0.37,0.0,-1,Traditional,Benjamini
academic-educator_Long_Comedy,18-24_Long_Children's,0.295,0.37,0.0,-1,Traditional,Benjamini
technician-engineer_Long_Children's,M_25-34_sales-marketing_Long,0.295,0.37,0.0,-1,Traditional,Benjamini
25-34_lawyer_Long,M_executive-managerial_Drama,0.295,0.405,0.0,-1,Traditional,Benjamini
25-34_Fantasy,M_25-34_sales-marketing,0.295,0.405,0.0,-1,Traditional,Benjamini
25-34_lawyer_Long,18-24_Long_Adventure,0.295,0.405,0.0,-1,Traditional,Benjamini
25-34_lawyer_Long,college-grad student_Long_Children's,0.295,0.405,0.0,-1,Traditional,Benjamini
M_50-55_Long,18-24_Children's,0.32,0.405,0.0,-1,Traditional,Benjamini
M_50-55_Long,other_Horror,0.32,0.405,0.0,-1,Traditional,Benjamini
M_50-55_Long,F_Long_Horror,0.32,0.405,0.0,-1,Traditional,Benjamini
academic-educator_Long_Action,18-24_Long_Adventure,0.33,0.405,0.0,-1,Traditional,Benjamini
M_25-34_scientist_Action,M_35-44_Long_Sci-Fi,0.335,0.44,0.0,-1,Traditional,Benjamini
M_academic-educator_Drama,25-34_sales-marketing,0.345,0.44,0.0,-1,Traditional,Benjamini
F_18-24_academic-educator_Long,Long_Western,0.345,0.47,0.0,-1,Traditional,Benjamini
academic-educator_Long_Action,college-grad student_Long_Children's,0.345,0.47,0.0,-1,Traditional,Benjamini
M_50-55_Long,18-24_Long_Children's,0.345,0.47,0.0,-1,Traditional,Benjamini
M_50-55_Long,other_Long_Horror,0.345,0.47,0.0,-1,Traditional,Benjamini
M_academic-educator_Comedy,F_executive-managerial_Long_Drama,0.345,0.47,0.0,-1,Traditional,Benjamini
academic-educator_Long_Action,college-grad student_Children's,0.345,0.47,0.0,-1,Traditional,Benjamini
academic-educator_Long_Action,18-24_Adventure,0.345,0.47,0.0,-1,Traditional,Benjamini
M_academic-educator_Comedy,F_25-34_Long_Horror,0.345,0.47,0.0,-1,Traditional,Benjamini
M_25-34_programmer_Long,F_executive-managerial_Long_Drama,0.36,0.47,0.0,-1,Traditional,Benjamini
35-44_clerical-admin_Long,F_Musical,0.36,0.485,0.0,-1,Traditional,Benjamini
academic-educator_Long_Action,M_executive-managerial_Drama,0.36,0.485,0.0,-1,Traditional,Benjamini
M_50-55_Long,F_Horror,0.36,0.485,0.0,-1,Traditional,Benjamini
F_18-24_academic-educator_Long,Western,0.36,0.485,0.0,-1,Traditional,Benjamini
M_35-44_programmer_Long,artist,0.38,0.485,0.0,-1,Traditional,Benjamini
academic-educator_Long_Comedy,18-24_Children's,0.38,0.485,0.0,-1,Traditional,Benjamini
25-34_lawyer_Long,M_executive-managerial_Long_Drama,0.38,0.485,0.0,-1,Traditional,Benjamini
M_35-44_programmer_Long,M_25-34_Long_Western,0.38,0.485,0.0,-1,Traditional,Benjamini
M_other_Long_Comedy,Long_Musical,0.385,0.51,0.0,-1,Traditional,Benjamini
M_academic-educator_Drama,25-34_sales-marketing_Long,0.385,0.51,0.0,-1,Traditional,Benjamini
M_35-44_programmer_Long,M_18-24_Long_Horror,0.385,0.51,0.0,-1,Traditional,Benjamini
M_35-44_programmer_Long,M_25-34_sales-marketing_Long,0.385,0.51,0.0,-1,Traditional,Benjamini
M_35-44_programmer_Long,18-24_Long_Musical,0.385,0.51,0.0,-1,Traditional,Benjamini
M_35-44_programmer_Long,M_25-34_Western,0.385,0.51,0.0,-1,Traditional,Benjamini
M_35-44_programmer_Long,M_18-24_Horror,0.385,0.51,0.0,-1,Traditional,Benjamini
M_35-44_programmer_Long,M_25-34_sales-marketing,0.385,0.51,0.0,-1,Traditional,Benjamini
M_35-44_programmer_Long,artist_Long,0.385,0.51,0.0,-1,Traditional,Benjamini
F_50-55_Long,18-24_Action,0.41,0.53,0.0,-1,Traditional,Benjamini
F_50-55_Long,18-24_Long_Action,0.41,0.53,0.0,-1,Traditional,Benjamini
academic-educator_Long_Comedy,F_Horror,0.41,0.53,0.0,-1,Traditional,Benjamini
M_35-44_programmer_Long,18-24_Musical,0.41,0.53,0.0,-1,Traditional,Benjamini
academic-educator_Long_Action,M_executive-managerial_Long_Drama,0.41,0.53,0.0,-1,Traditional,Benjamini
M_other_Long_Comedy,Musical,0.41,0.53,0.0,-1,Traditional,Benjamini
25-34_Fantasy,M_18-24_Horror,0.41,0.53,0.0,-1,Traditional,Benjamini
25-34_Fantasy,M_25-34_Western,0.41,0.53,0.0,-1,Traditional,Benjamini
25-34_Fantasy,18-24_Long_Musical,0.41,0.53,0.0,-1,Traditional,Benjamini
50-55_Drama,artist,0.41,0.53,0.0,-1,Traditional,Benjamini
45-49_Drama,25-34_sales-marketing_Long,0.425,0.53,0.0,-1,Traditional,Benjamini
M_18-24_college-grad student_Comedy,25-34_other_Horror,0.485,0.53,0.0,-1,Traditional,Benjamini
45-49_Drama,25-34_sales-marketing,0.485,0.53,0.0,-1,Traditional,Benjamini
M_18-24_college-grad student_Comedy,M_Long_Animation,0.485,0.535,0.0,-1,Traditional,Benjamini
M_18-24_college-grad student_Comedy,college-grad student_Horror,0.485,0.55,0.0,-1,Traditional,Benjamini
M_college-grad student_Long_Comedy,Western,0.51,0.55,0.0,-1,Traditional,Benjamini
50-55_Drama,18-24_Musical,0.51,0.55,0.0,-1,Traditional,Benjamini
technician-engineer_Long_Children's,artist,0.51,0.55,0.0,-1,Traditional,Benjamini
M_college-grad student_Long_Comedy,Long_Western,0.51,0.55,0.0,-1,Traditional,Benjamini
M_45-49_retired_Long,M_25-34_other_Long_Horror,0.51,0.55,0.0,-1,Traditional,Benjamini
M_college-grad student_Long_Drama,18-24_Horror,0.555,0.55,0.0,-1,Traditional,Benjamini
technician-engineer_Long_Children's,18-24_Musical,0.555,0.55,0.0,-1,Traditional,Benjamini
M_college-grad student_Long_Drama,18-24_Long_Horror,0.555,0.55,0.0,-1,Traditional,Benjamini
technician-engineer_Long_Children's,artist_Long,0.555,0.55,0.0,-1,Traditional,Benjamini
academic-educator_Long_Drama,M_Long_Musical,0.555,0.55,0.0,-1,Traditional,Benjamini
M_18-24_college-grad student_Comedy,M_Animation,0.555,0.55,0.0,-1,Traditional,Benjamini
50-55_Drama,artist_Long,0.555,0.55,0.0,-1,Traditional,Benjamini
50-55_Drama,M_25-34_sales-marketing,0.555,0.55,0.0,-1,Traditional,Benjamini
50-55_Drama,M_18-24_Horror,0.555,0.55,0.0,-1,Traditional,Benjamini
M_45-49_retired,F_Animation,0.555,0.555,0.0,-1,Traditional,Benjamini
homemaker_Long,M_executive-managerial_Long_Drama,0.56,0.555,0.0,-1,Traditional,Benjamini
M_45-49_retired,F_18-24_Comedy,0.56,0.565,0.0,-1,Traditional,Benjamini
homemaker_Long,college-grad student_Long_Children's,0.56,0.565,0.0,-1,Traditional,Benjamini
homemaker_Long,18-24_Long_Adventure,0.56,0.565,0.0,-1,Traditional,Benjamini
homemaker_Long,M_executive-managerial_Drama,0.56,0.565,0.0,-1,Traditional,Benjamini
M_45-49_retired,F_Long_Animation,0.56,0.565,0.0,-1,Traditional,Benjamini
M_45-49_retired,M_25-34_other_Horror,0.56,0.565,0.0,-1,Traditional,Benjamini
homemaker_Long,college-grad student_Children's,0.56,0.565,0.0,-1,Traditional,Benjamini
M_45-49_retired,F_18-24_Long_Comedy,0.56,0.565,0.0,-1,Traditional,Benjamini
homemaker_Long,18-24_Adventure,0.56,0.565,0.0,-1,Traditional,Benjamini
M_45-49_retired,M_25-34_other_Long_Horror,0.56,0.565,0.0,-1,Traditional,Benjamini
50-55_Drama,M_25-34_Long_Western,0.56,0.565,0.0,-1,Traditional,Benjamini
50-55_Drama,M_18-24_Long_Horror,0.56,0.565,0.0,-1,Traditional,Benjamini
50-55_Drama,M_25-34_sales-marketing_Long,0.56,0.565,0.0,-1,Traditional,Benjamini
50-55_Drama,18-24_Long_Musical,0.56,0.565,0.0,-1,Traditional,Benjamini
50-55_Drama,M_25-34_Western,0.56,0.565,0.0,-1,Traditional,Benjamini
M_45-49_retired_Long,F_18-24_Long_Comedy,0.56,0.565,0.0,-1,Traditional,Benjamini
M_45-49_retired_Long,M_25-34_other_Horror,0.56,0.565,0.0,-1,Traditional,Benjamini
M_45-49_retired_Long,F_Long_Animation,0.56,0.565,0.0,-1,Traditional,Benjamini
technician-engineer_Long_Children's,M_25-34_sales-marketing,0.56,0.565,0.0,-1,Traditional,Benjamini
25-34_Thriller,executive-managerial_Long_Drama,0.6,0.565,0.0,-1,Traditional,Benjamini
25-34_Thriller,F_Long_Children's,0.6,0.58,0.0,-1,Traditional,Benjamini
M_college-grad student_Long_Sci-Fi,other_Horror,0.62,0.58,0.0,-1,Traditional,Benjamini
25-34_Thriller,M_18-24_other,0.62,0.58,0.0,-1,Traditional,Benjamini
25-34_Thriller,executive-managerial_Drama,0.62,0.58,0.0,-1,Traditional,Benjamini
M_college-grad student_Long_Sci-Fi,F_Long_Horror,0.62,0.58,0.0,-1,Traditional,Benjamini
25-34_Thriller,F_Children's,0.62,0.58,0.0,-1,Traditional,Benjamini
academic-educator_Long_Drama,M_Musical,0.62,0.58,0.0,-1,Traditional,Benjamini
academic-educator_Long_Comedy,other_Long_Horror,0.62,0.58,0.0,-1,Traditional,Benjamini
M_college-grad student_Long_Sci-Fi,18-24_Long_Children's,0.62,0.58,0.0,-1,Traditional,Benjamini
M_college-grad student_Long_Sci-Fi,other_Long_Horror,0.62,0.58,0.0,-1,Traditional,Benjamini
18-24_sales-marketing_Long,F_Horror,0.62,0.58,0.0,-1,Traditional,Benjamini
technician-engineer_Long_Children's,M_25-34_Western,0.62,0.58,0.0,-1,Traditional,Benjamini
18-24_sales-marketing_Long,18-24_Children's,0.62,0.58,0.0,-1,Traditional,Benjamini
25-34_Fantasy,M_25-34_Long_Western,0.62,0.58,0.0,-1,Traditional,Benjamini
25-34_Fantasy,M_18-24_Long_Horror,0.62,0.58,0.0,-1,Traditional,Benjamini
25-34_Fantasy,M_25-34_sales-marketing_Long,0.62,0.58,0.0,-1,Traditional,Benjamini
25-34_Thriller,M_18-24_other_Long,0.62,0.58,0.0,-1,Traditional,Benjamini
M_academic-educator_Comedy,25-34_Long_Western,0.62,0.58,0.0,-1,Traditional,Benjamini
25-34_War,M_clerical-admin,0.645,0.595,0.0,-1,Traditional,Benjamini
25-34_War,F_25-34_Drama,0.645,0.605,0.0,-1,Traditional,Benjamini
technician-engineer_Long_Children's,M_18-24_Horror,0.645,0.605,0.0,-1,Traditional,Benjamini
18-24_academic-educator_Long,Western,0.645,0.605,0.0,-1,Traditional,Benjamini
M_45-49_retired_Long,F_18-24_Comedy,0.645,0.605,0.0,-1,Traditional,Benjamini
M_college-grad student_Long_Sci-Fi,F_Horror,0.645,0.605,0.0,-1,Traditional,Benjamini
M_45-49_retired_Long,F_Animation,0.645,0.605,0.0,-1,Traditional,Benjamini
M_45-49_executive-managerial_Long,F_executive-managerial_Long_Drama,0.645,0.605,0.0,-1,Traditional,Benjamini
18-24_academic-educator_Long,Long_Western,0.645,0.605,0.0,-1,Traditional,Benjamini
M_college-grad student_Long_Sci-Fi,18-24_Children's,0.645,0.605,0.0,-1,Traditional,Benjamini
25-34_War,M_25-34_college-grad student_Long_Action,0.645,0.615,0.0,-1,Traditional,Benjamini
25-34_War,25-34_college-grad student_Long_Action,0.645,0.615,0.0,-1,Traditional,Benjamini
25-34_War,M_college-grad student_Long_Horror,0.645,0.615,0.0,-1,Traditional,Benjamini
25-34_War,F_25-34_Long_Drama,0.645,0.615,0.0,-1,Traditional,Benjamini
25-34_War,M_25-34_college-grad student_Action,0.645,0.615,0.0,-1,Traditional,Benjamini
25-34_War,25-34_Long_Romance,0.645,0.625,0.0,-1,Traditional,Benjamini
25-34_War,25-34_college-grad student_Action,0.645,0.625,0.0,-1,Traditional,Benjamini
25-34_War,M_college-grad student_Horror,0.645,0.625,0.0,-1,Traditional,Benjamini
25-34_War,M_clerical-admin_Long,0.645,0.625,0.0,-1,Traditional,Benjamini
25-34_War,25-34_Romance,0.645,0.625,0.0,-1,Traditional,Benjamini
lawyer_Long,18-24_Horror,0.65,0.625,0.0,-1,Traditional,Benjamini
M_25-34_programmer_Long,F_25-34_Long_Horror,0.65,0.625,0.0,-1,Traditional,Benjamini
M_25-34_programmer_Long,25-34_Long_Western,0.65,0.625,0.0,-1,Traditional,Benjamini
45-49_executive-managerial_Long,25-34_Long_Western,0.65,0.625,0.0,-1,Traditional,Benjamini
35-44_self-employed,F_25-34_Drama,0.655,0.625,0.0,-1,Traditional,Benjamini
M_technician-engineer_Long_Children's,M_25-34_Western,0.655,0.625,0.0,-1,Traditional,Benjamini
M_technician-engineer_Long_Children's,18-24_Long_Musical,0.655,0.625,0.0,-1,Traditional,Benjamini
35-44_self-employed,25-34_Romance,0.655,0.625,0.0,-1,Traditional,Benjamini
M_technician-engineer_Long_Children's,M_25-34_sales-marketing_Long,0.655,0.625,0.0,-1,Traditional,Benjamini
M_technician-engineer_Long_Children's,M_18-24_Long_Horror,0.655,0.625,0.0,-1,Traditional,Benjamini
35-44_self-employed,M_clerical-admin_Long,0.655,0.625,0.0,-1,Traditional,Benjamini
35-44_self-employed,M_clerical-admin,0.655,0.625,0.0,-1,Traditional,Benjamini
M_technician-engineer_Long_Children's,M_25-34_Long_Western,0.655,0.625,0.0,-1,Traditional,Benjamini
35-44_programmer,M_25-34_other_Long_Horror,0.66,0.625,0.0,-1,Traditional,Benjamini
35-44_programmer,F_18-24_Long_Comedy,0.66,0.625,0.0,-1,Traditional,Benjamini
35-44_programmer,M_25-34_other_Horror,0.66,0.625,0.0,-1,Traditional,Benjamini
45-49_executive-managerial_Long,F_executive-managerial_Long_Drama,0.66,0.625,0.0,-1,Traditional,Benjamini
45-49_retired_Long,F_Animation,0.66,0.625,0.0,-1,Traditional,Benjamini
F_other_Comedy,F_18-24_Long_Comedy,0.67,0.625,0.0,-1,Traditional,Benjamini
45-49_executive-managerial_Long,F_25-34_Long_Horror,0.67,0.625,0.0,-1,Traditional,Benjamini
35-44_self-employed,M_college-grad student_Horror,0.67,0.625,0.0,-1,Traditional,Benjamini
M_technician-engineer_Long_Children's,M_18-24_Horror,0.67,0.625,0.0,-1,Traditional,Benjamini
M_technician-engineer_Long_Children's,M_25-34_sales-marketing,0.67,0.625,0.0,-1,Traditional,Benjamini
F_other_Comedy,M_25-34_other_Long_Horror,0.67,0.625,0.0,-1,Traditional,Benjamini
35-44_writer,M_25-34_executive-managerial,0.67,0.625,0.0,-1,Traditional,Benjamini
45-49_executive-managerial_Long,M_lawyer,0.67,0.625,0.0,-1,Traditional,Benjamini
45-49_executive-managerial_Long,25-34_Western,0.67,0.625,0.0,-1,Traditional,Benjamini
45-49_executive-managerial_Long,F_25-34_Horror,0.67,0.625,0.0,-1,Traditional,Benjamini
45-49_executive-managerial_Long,M_lawyer_Long,0.67,0.625,0.0,-1,Traditional,Benjamini
M_technician-engineer_Long_Children's,artist,0.67,0.625,0.0,-1,Traditional,Benjamini
45-49_executive-managerial_Long,F_executive-managerial_Drama,0.67,0.625,0.0,-1,Traditional,Benjamini
M_technician-engineer_Long_Children's,18-24_Musical,0.67,0.625,0.0,-1,Traditional,Benjamini
35-44_self-employed,M_25-34_college-grad student_Long_Action,0.67,0.625,0.0,-1,Traditional,Benjamini
35-44_self-employed,25-34_college-grad student_Long_Action,0.67,0.625,0.0,-1,Traditional,Benjamini
35-44_self-employed,M_college-grad student_Long_Horror,0.67,0.625,0.0,-1,Traditional,Benjamini
35-44_self-employed,F_25-34_Long_Drama,0.67,0.625,0.0,-1,Traditional,Benjamini
35-44_self-employed,M_25-34_college-grad student_Action,0.67,0.625,0.0,-1,Traditional,Benjamini
M_technician-engineer_Long_Children's,artist_Long,0.67,0.625,0.0,-1,Traditional,Benjamini
35-44_self-employed,25-34_Long_Romance,0.67,0.625,0.0,-1,Traditional,Benjamini
35-44_self-employed,25-34_college-grad student_Action,0.67,0.625,0.0,-1,Traditional,Benjamini
35-44_programmer,F_Long_Animation,0.67,0.625,0.0,-1,Traditional,Benjamini
35-44_writer,M_18-24_Sci-Fi,0.67,0.625,0.0,-1,Traditional,Benjamini
35-44_programmer,F_18-24_Comedy,0.67,0.625,0.0,-1,Traditional,Benjamini
45-49_retired_Long,F_18-24_Comedy,0.67,0.625,0.0,-1,Traditional,Benjamini
18-24_college-grad student_Long_Sci-Fi,25-34_executive-managerial_Drama,0.68,0.625,0.0,-1,Traditional,Benjamini
18-24_college-grad student_Long_Sci-Fi,M_25-34_lawyer_Long,0.68,0.625,0.0,-1,Traditional,Benjamini
18-24_college-grad student_Long_Sci-Fi,M_35-44_Long_Sci-Fi,0.68,0.625,0.0,-1,Traditional,Benjamini
18-24_college-grad student_Long_Sci-Fi,M_executive-managerial_Long_Action,0.68,0.625,0.0,-1,Traditional,Benjamini
18-24_college-grad student_Long_Sci-Fi,25-34_executive-managerial_Long_Drama,0.68,0.625,0.0,-1,Traditional,Benjamini
18-24_college-grad student_Sci-Fi,M_35-44_Long_Sci-Fi,0.68,0.625,0.0,-1,Traditional,Benjamini
18-24_programmer_Long_Comedy,F_Musical,0.69,0.625,0.0,-1,Traditional,Benjamini
18-24_college-grad student_Long_Sci-Fi,M_executive-managerial_Action,0.69,0.625,0.0,-1,Traditional,Benjamini
18-24_college-grad student_Sci-Fi,M_executive-managerial_Long_Action,0.69,0.625,0.0,-1,Traditional,Benjamini
18-24_college-grad student_Sci-Fi,25-34_executive-managerial_Long_Drama,0.69,0.625,0.0,-1,Traditional,Benjamini
F_25-34_academic-educator_Long,M_lawyer,0.69,0.625,0.0,-1,Traditional,Benjamini
18-24_programmer_Comedy,F_Musical,0.69,0.625,0.0,-1,Traditional,Benjamini
25-34_lawyer,M_executive-managerial_Long_Drama,0.69,0.625,0.0,-1,Traditional,Benjamini
25-34_lawyer,college-grad student_Long_Children's,0.69,0.625,0.0,-1,Traditional,Benjamini
25-34_lawyer,18-24_Long_Adventure,0.69,0.625,0.0,-1,Traditional,Benjamini
18-24_programmer_Long_Comedy,M_other_Horror,0.69,0.625,0.0,-1,Traditional,Benjamini
F_academic-educator_Drama,M_18-24_Long_Horror,0.69,0.625,0.0,-1,Traditional,Benjamini
18-24_college-grad student_Long_Sci-Fi,M_35-44_Sci-Fi,0.69,0.625,0.0,-1,Traditional,Benjamini
18-24_college-grad student_Long_Sci-Fi,M_25-34_lawyer,0.69,0.625,0.0,-1,Traditional,Benjamini
18-24_college-grad student_Sci-Fi,M_25-34_lawyer_Long,0.69,0.625,0.0,-1,Traditional,Benjamini
45-49_retired_Long,F_Long_Animation,0.69,0.625,0.0,-1,Traditional,Benjamini
35-44_programmer,F_Animation,0.69,0.625,0.0,-1,Traditional,Benjamini
45-49_retired_Long,M_25-34_other_Horror,0.69,0.625,0.0,-1,Traditional,Benjamini
45-49_retired_Long,F_18-24_Long_Comedy,0.69,0.625,0.0,-1,Traditional,Benjamini
45-49_retired_Long,M_25-34_other_Long_Horror,0.69,0.625,0.0,-1,Traditional,Benjamini
35-44_clerical-admin,M_other_Long_Horror,0.69,0.625,0.0,-1,Traditional,Benjamini
35-44_clerical-admin,F_Long_Musical,0.69,0.625,0.0,-1,Traditional,Benjamini
35-44_clerical-admin,M_other_Horror,0.69,0.625,0.0,-1,Traditional,Benjamini
35-44_clerical-admin,F_Musical,0.69,0.625,0.0,-1,Traditional,Benjamini
F_other_Comedy,F_Long_Animation,0.69,0.625,0.0,-1,Traditional,Benjamini
F_other_Comedy,F_18-24_Comedy,0.69,0.625,0.0,-1,Traditional,Benjamini
18-24_college-grad student_Sci-Fi,M_25-34_lawyer,0.69,0.625,0.0,-1,Traditional,Benjamini
18-24_college-grad student_Sci-Fi,M_35-44_Sci-Fi,0.69,0.625,0.0,-1,Traditional,Benjamini
18-24_college-grad student_Sci-Fi,M_executive-managerial_Action,0.69,0.625,0.0,-1,Traditional,Benjamini
F_other_Comedy,F_Animation,0.69,0.625,0.0,-1,Traditional,Benjamini
18-24_college-grad student_Sci-Fi,25-34_executive-managerial_Drama,0.69,0.625,0.0,-1,Traditional,Benjamini
F_academic-educator_Drama,M_25-34_Long_Western,0.69,0.625,0.0,-1,Traditional,Benjamini
F_other_Comedy,M_25-34_other_Horror,0.69,0.625,0.0,-1,Traditional,Benjamini
M_academic-educator_Comedy,M_lawyer,0.69,0.625,0.0,-1,Traditional,Benjamini
35-44_writer_Long,M_18-24_Long_Sci-Fi,0.69,0.625,0.0,-1,Traditional,Benjamini
45-49_Long_Drama,25-34_sales-marketing,0.69,0.625,0.0,-1,Traditional,Benjamini
35-44_programmer_Long,F_Long_Animation,0.69,0.625,0.0,-1,Traditional,Benjamini
50-55_Long_Drama,M_18-24_Horror,0.69,0.625,0.0,-1,Traditional,Benjamini
50-55_Long_Drama,M_25-34_sales-marketing,0.69,0.625,0.0,-1,Traditional,Benjamini
M_25-34_programmer_Long,F_executive-managerial_Drama,0.69,0.625,0.0,-1,Traditional,Benjamini
50-55_Long_Drama,artist_Long,0.69,0.625,0.0,-1,Traditional,Benjamini
35-44_programmer_Long,M_25-34_other_Horror,0.69,0.625,0.0,-1,Traditional,Benjamini
35-44_programmer_Long,F_18-24_Long_Comedy,0.69,0.625,0.0,-1,Traditional,Benjamini
35-44_programmer_Long,F_18-24_Comedy,0.69,0.625,0.0,-1,Traditional,Benjamini
M_25-34_programmer_Long,M_lawyer_Long,0.69,0.625,0.0,-1,Traditional,Benjamini
50-55_Long_Drama,18-24_Musical,0.69,0.625,0.0,-1,Traditional,Benjamini
35-44_self-employed_Long,M_clerical-admin,0.69,0.625,0.0,-1,Traditional,Benjamini
M_25-34_programmer_Long,F_25-34_Horror,0.69,0.625,0.0,-1,Traditional,Benjamini
50-55_Long_Drama,artist,0.69,0.625,0.0,-1,Traditional,Benjamini
M_25-34_programmer_Long,25-34_Western,0.69,0.625,0.0,-1,Traditional,Benjamini
M_academic-educator_Comedy,F_25-34_Horror,0.69,0.625,0.0,-1,Traditional,Benjamini
M_25-34_programmer_Long,M_lawyer,0.69,0.625,0.0,-1,Traditional,Benjamini
35-44_programmer_Long,M_25-34_other_Long_Horror,0.69,0.625,0.0,-1,Traditional,Benjamini
50-55_Long_Drama,M_25-34_Western,0.69,0.625,0.0,-1,Traditional,Benjamini
50-55_Long_Drama,18-24_Long_Musical,0.69,0.625,0.0,-1,Traditional,Benjamini
50-55_Long_Drama,M_25-34_sales-marketing_Long,0.69,0.625,0.0,-1,Traditional,Benjamini
M_academic-educator_Comedy,F_executive-managerial_Drama,0.69,0.625,0.0,-1,Traditional,Benjamini
35-44_clerical-admin_Long,F_Long_Musical,0.69,0.625,0.0,-1,Traditional,Benjamini
M_academic-educator_Comedy,M_lawyer_Long,0.69,0.625,0.0,-1,Traditional,Benjamini
35-44_clerical-admin_Long,M_other_Long_Horror,0.69,0.625,0.0,-1,Traditional,Benjamini
18-24_Thriller,M_25-34_Long_Western,0.71,0.625,0.0,-1,Traditional,Benjamini
18-24_Thriller,M_18-24_Long_Horror,0.71,0.625,0.0,-1,Traditional,Benjamini
18-24_Thriller,M_25-34_sales-marketing_Long,0.71,0.625,0.0,-1,Traditional,Benjamini
18-24_Thriller,18-24_Long_Musical,0.71,0.625,0.0,-1,Traditional,Benjamini
18-24_Thriller,M_25-34_Western,0.71,0.625,0.0,-1,Traditional,Benjamini
18-24_Thriller,M_18-24_Horror,0.71,0.625,0.0,-1,Traditional,Benjamini
18-24_Thriller,M_25-34_sales-marketing,0.71,0.625,0.0,-1,Traditional,Benjamini
18-24_Thriller,artist_Long,0.71,0.625,0.0,-1,Traditional,Benjamini
18-24_Thriller,18-24_Musical,0.71,0.625,0.0,-1,Traditional,Benjamini
18-24_Thriller,artist,0.71,0.625,0.0,-1,Traditional,Benjamini
50-55_Long_Drama,M_25-34_Long_Western,0.71,0.625,0.0,-1,Traditional,Benjamini
50-55_Long_Drama,M_18-24_Long_Horror,0.71,0.625,0.0,-1,Traditional,Benjamini
