threshold,method,adjustment,Candidates,Hypothesis,Without_Adjust,evaluation_cases_time,grouping_time,Best_pairs,Min_p_value,Max_p_value,Sum_p_value,Cov_period_1,Cov_period_2,Cov_total,p_value_adjustement_time
-1,Coverage_alpha_investing,gamma_100,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,4.0,0.0,1.4623472852308434e-05,1.4623472852308434e-05,0.375,0.32,0.34750000000000003,42.187023878097534
-1,Coverage_alpha_investing,gamma_150,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,5.0,0.0,1.4623472852308434e-05,1.4623472852308434e-05,0.41,0.37,0.39,42.191336154937744
-1,Coverage_alpha_investing,gamma_200,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,7.0,0.0,2.143087277428787e-05,3.6054345626596303e-05,0.48,0.43,0.45499999999999996,40.701655864715576
20,Traditional,Benjamini,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,20.0,0.0,0.0,0.0,0.185,0.335,0.26,0.01573777198791504
20,Traditional,Bonferroni,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,20.0,0.0,0.0,0.0,0.185,0.335,0.26,0.0061991214752197266
20,Coverage_Two_Sides,Benjamini,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,20.0,0.0,0.0008086855885361085,0.00281647126980647,0.835,0.675,0.755,7.070952892303467
20,Coverage_Two_Sides,Bonferroni,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,20.0,0.0,5.112870506371031e-06,5.112870506371031e-06,0.715,0.62,0.6675,19.691709995269775
20,Coverage_Side_1,Benjamini,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,20.0,0.0,0.0007724611113989142,0.0025669285331131513,0.91,0.345,0.6275,1.4891650676727295
20,Coverage_Side_1,Bonferroni,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,20.0,0.0,5.378880996438108e-06,1.0744435499712982e-05,0.76,0.46,0.61,7.896367788314819
20,Coverage_Side_2,Benjamini,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,20.0,0.0,0.0008056073879429469,0.0020326887215889686,0.415,0.72,0.5675,2.855138063430786
20,Coverage_Side_2,Bonferroni,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,20.0,0.0,0.0,0.0,0.405,0.64,0.5225,10.515993118286133
20,Coverage_alpha_investing,gamma_10,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,0.0,,,0.0,,,,57.347110986709595
20,Coverage_alpha_investing,gamma_20,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,0.0,,,0.0,,,,45.58728075027466
20,Coverage_alpha_investing,gamma_50,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,0.0,,,0.0,,,,53.50330400466919
20,Coverage_alpha_investing,gamma_100,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,4.0,0.0,1.4623472852308434e-05,1.4623472852308434e-05,0.375,0.32,0.34750000000000003,40.20291781425476
20,Coverage_alpha_investing,gamma_150,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,5.0,0.0,1.4623472852308434e-05,1.4623472852308434e-05,0.41,0.37,0.39,38.365314960479736
20,Coverage_alpha_investing,gamma_200,429025.0,42657.0,6076.0,4.9114227294921875e-05,12.577162027359009,7.0,0.0,2.143087277428787e-05,3.6054345626596303e-05,0.48,0.43,0.45499999999999996,33.025607109069824
