group1,group2,coverage_gained_1,coverage_gained_2,p-value,n,algorithm,samples
M_academic-educator,F,0.9714285714285714,1.0,5.960101397093008e-06,-1,TRAD_BY,10.0
M_academic-educator_Long,F,0.9714285714285714,1.0,5.960101397093008e-06,-1,TRAD_BY,10.0
executive-managerial,M_35-44_scientist_Long_Comedy,0.9714285714285714,1.0,6.58143601831875e-06,-1,TRAD_BY,10.0
M_25-34_executive-managerial_Long,M_other_Long,0.9714285714285714,1.0,6.598950694274625e-06,-1,TRAD_BY,10.0
25-34_executive-managerial,M_other_Long,0.9714285714285714,1.0,6.598950694274625e-06,-1,TRAD_BY,10.0
executive-managerial,M_35-44_Long_Comedy,0.9714285714285714,1.0,8.72120495033515e-06,-1,TRAD_BY,10.0
M_academic-educator,F,0.9714285714285714,1.0,8.826965256257903e-06,-1,TRAD_BY,10.0
M_academic-educator_Long,F,0.9714285714285714,1.0,8.826965256257903e-06,-1,TRAD_BY,10.0
M_academic-educator,F_Long,0.9714285714285714,1.0,8.826965256257903e-06,-1,TRAD_BY,10.0
executive-managerial_Long,M_35-44_Comedy,0.9714285714285714,1.0,8.898357201605956e-06,-1,TRAD_BY,10.0
F_sales-marketing,college-grad student_Long,0.9714285714285714,1.0,9.179361039532124e-06,-1,TRAD_BY,10.0
F_sales-marketing_Long,college-grad student_Long,0.9714285714285714,1.0,9.179361039532124e-06,-1,TRAD_BY,10.0
Long_Adventure,35-44_Long_Comedy,0.9714285714285714,1.0,1.1901994693883155e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,Long_Adventure,0.9714285714285714,1.0,1.3293319087905397e-05,-1,TRAD_BY,10.0
Long_Adventure,M_35-44_Comedy,0.9714285714285714,1.0,1.3609864983540851e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_programmer,0.9714285714285714,1.0,1.3637449098107349e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_Adventure,0.9714285714285714,1.0,1.524942621460938e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_Long_Adventure,0.9714285714285714,1.0,1.524942621460938e-05,-1,TRAD_BY,10.0
35-44,35-44_Long_Comedy,0.9714285714285714,1.0,1.669484917558024e-05,-1,TRAD_BY,10.0
sales-marketing_Long,M_25-34,0.9714285714285714,1.0,1.6973437814422572e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,Adventure,0.9714285714285714,1.0,1.8567302800739805e-05,-1,TRAD_BY,10.0
M_academic-educator,Adventure,0.9714285714285714,1.0,1.8567302800739805e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,Long_Adventure,0.9714285714285714,1.0,1.8567302800739805e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,Adventure,0.9714285714285714,1.0,1.8567302800739805e-05,-1,TRAD_BY,10.0
25-34_Long_Horror,18-24_other,0.9714285714285714,1.0,1.93458616546568e-05,-1,TRAD_BY,10.0
25-34_Long_Horror,18-24_other,0.9714285714285714,1.0,1.93458616546568e-05,-1,TRAD_BY,10.0
M_25-34_Long_Horror,18-24_other,0.9714285714285714,1.0,1.93458616546568e-05,-1,TRAD_BY,10.0
25-34_Long_Horror,M_18-24_other,0.9714285714285714,1.0,1.93458616546568e-05,-1,TRAD_BY,10.0
25-34_Long_Horror,M_18-24_other,0.9714285714285714,1.0,1.93458616546568e-05,-1,TRAD_BY,10.0
Long_Horror,other_Long,0.9714285714285714,1.0,1.989225913482543e-05,-1,TRAD_BY,10.0
Comedy,M_35-44_Long_Comedy,1.0,1.0,2.0842799374544224e-05,-1,TRAD_BY,10.0
M_25-34_executive-managerial,Action,1.0,1.0,2.0997343287895773e-05,-1,TRAD_BY,10.0
M_25-34_executive-managerial,Long_Action,1.0,1.0,2.0997343287895773e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_Long_Adventure,1.0,1.0,2.119666088610778e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_Long_Adventure,1.0,1.0,2.119666088610778e-05,-1,TRAD_BY,10.0
M_academic-educator,M_Adventure,1.0,1.0,2.119666088610778e-05,-1,TRAD_BY,10.0
M_academic-educator,M_Long_Adventure,1.0,1.0,2.119666088610778e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_Adventure,1.0,1.0,2.119666088610778e-05,-1,TRAD_BY,10.0
M_academic-educator,M_Long_Adventure,1.0,1.0,2.119666088610778e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_Adventure,1.0,1.0,2.119666088610778e-05,-1,TRAD_BY,10.0
M_academic-educator,M_Long_Action,1.0,1.0,2.195721779679203e-05,-1,TRAD_BY,10.0
M_academic-educator,M_Action,1.0,1.0,2.195721779679203e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_Long_Action,1.0,1.0,2.195721779679203e-05,-1,TRAD_BY,10.0
M_25-34_Long_Action,35-44_Long_Comedy,1.0,1.0,2.352913335686823e-05,-1,TRAD_BY,10.0
M_executive-managerial,M_Long_Action,1.0,1.0,2.370125163996692e-05,-1,TRAD_BY,10.0
M_executive-managerial,M_Action,1.0,1.0,2.370125163996692e-05,-1,TRAD_BY,10.0
18-24,college-grad student_Long,1.0,1.0,2.479836007589491e-05,-1,TRAD_BY,10.0
F_Long_Drama,18-24_other,1.0,1.0,2.662886110469663e-05,-1,TRAD_BY,10.0
M_25-34_Action,M_35-44_Comedy,1.0,1.0,2.7514310087028863e-05,-1,TRAD_BY,10.0
M_Long_Horror,18-24_other,1.0,1.0,2.859850097313725e-05,-1,TRAD_BY,10.0
M_academic-educator,M_Action,1.0,1.0,2.967076300773081e-05,-1,TRAD_BY,10.0
M_academic-educator,M_Long_Action,1.0,1.0,2.967076300773081e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_Long_Action,1.0,1.0,2.967076300773081e-05,-1,TRAD_BY,10.0
M_academic-educator,18-24_other,1.0,1.0,2.9770751713768893e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_programmer,1.0,1.0,3.0147675554101552e-05,-1,TRAD_BY,10.0
M_academic-educator,programmer_Long,1.0,1.0,3.0147675554101552e-05,-1,TRAD_BY,10.0
M_35-44_Long,F_Long,1.0,1.0,3.131322484878029e-05,-1,TRAD_BY,10.0
M_35-44,F_Long,1.0,1.0,3.131322484878029e-05,-1,TRAD_BY,10.0
M_35-44,F,1.0,1.0,3.131322484878029e-05,-1,TRAD_BY,10.0
M_35-44,F,1.0,1.0,3.131322484878029e-05,-1,TRAD_BY,10.0
M_35-44,F,1.0,1.0,3.131322484878029e-05,-1,TRAD_BY,10.0
M_35-44_Long,F_Long,1.0,1.0,3.131322484878029e-05,-1,TRAD_BY,10.0
M_35-44,F_Long,1.0,1.0,3.131322484878029e-05,-1,TRAD_BY,10.0
executive-managerial_Long,other_Long,1.0,1.0,3.687746924910239e-05,-1,TRAD_BY,10.0
academic-educator_Long,M_scientist_Comedy,1.0,1.0,3.818072706558303e-05,-1,TRAD_BY,10.0
M_academic-educator,M_programmer_Long,1.0,1.0,3.896217098865596e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,programmer,1.0,1.0,3.896217098865596e-05,-1,TRAD_BY,10.0
M_academic-educator,M_programmer,1.0,1.0,3.896217098865596e-05,-1,TRAD_BY,10.0
M_academic-educator,M_programmer,1.0,1.0,3.896217098865596e-05,-1,TRAD_BY,10.0
