group1,group2,coverage_gained_1,coverage_gained_2,p-value,threshold,method,adjustment
Drama,M_scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Drama,scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Drama,M_scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Long_Drama,M_scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Long_Drama,M_scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Long_Drama,scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Long_Drama,scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Long_Drama,scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Long_Drama,scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Long_Drama,scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Long_Drama,scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Long_Drama,scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Long_Drama,M_scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Long_Drama,M_scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Long_Drama,M_scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Long_Drama,M_scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Long_Drama,scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Drama,scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Long_Drama,M_scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Drama,scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
Long_Drama,M_scientist_Long,0.8285714285714286,0.25,3.7645459316365216e-12,-1,Traditional,Benjamini
F_sales-marketing_Long,scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing_Long,M_scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing_Long,scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing,M_scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing_Long,M_scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing_Long,scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing_Long,scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing_Long,scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing,M_scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing,M_scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing_Long,scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing_Long,scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing_Long,M_scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing_Long,scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing_Long,M_scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing,M_scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing,M_scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing,scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing,scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing,scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing,scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing,M_scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing,scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing,scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing,scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing,scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing_Long,M_scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing_Long,M_scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing,M_scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing,M_scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing_Long,M_scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
F_sales-marketing_Long,M_scientist,0.8285714285714286,0.25,4.215776980176538e-12,-1,Traditional,Benjamini
Long_Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Long_Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Long_Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Long_Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Long_Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Long_Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Long_Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
