threshold,method,adjustment,Candidates,Hypothesis,Without_Adjust,evaluation_cases_time,grouping_time,Best_pairs,Min_p_value,Max_p_value,Sum_p_value,Cov_period_1,Cov_period_2,Cov_total,p_value_adjustement_time
5,Traditional,Bonferroni,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,5.0,1.9556410158418907e-15,1.9556410158418907e-15,9.778205079209453e-15,0.14285714285714285,0.20833333333333334,0.17559523809523808,0.00446629524230957
5,Coverage_Two_Sides,Benjamini,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,5.0,1.9556410158418907e-15,3.9345991678138136e-05,4.7859543947049645e-05,0.9428571428571428,1.0,0.9714285714285714,2.4814751148223877
5,Coverage_Two_Sides,Bonferroni,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,5.0,1.9556410158418907e-15,2.023435062189053e-06,2.669491445563483e-06,0.9428571428571428,0.9166666666666666,0.9297619047619048,21.45577120780945
5,Coverage_Side_1,Benjamini,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,5.0,3.7645459316365216e-12,2.0842799374544227e-05,2.2112217433219817e-05,1.0,0.25,0.625,0.4645400047302246
5,Coverage_Side_1,Bonferroni,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,5.0,1.9556410158418907e-15,5.300158076738019e-07,6.460579419866547e-07,0.9428571428571428,0.3333333333333333,0.638095238095238,5.228368043899536
5,Coverage_Side_2,Benjamini,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,4.0,1.9556410158418907e-15,5.960101397093007e-06,8.446968007116154e-06,0.34285714285714286,1.0,0.6714285714285715,0.538693904876709
5,Coverage_Side_2,Bonferroni,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,3.0,1.9556410158418907e-15,2.023435062189053e-06,2.486866610023147e-06,0.2,0.9583333333333334,0.5791666666666667,8.143278121948242
5,Coverage_alpha_investing,gamma_10,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,0.0,,,0.0,,,,297.1480247974396
5,Coverage_alpha_investing,gamma_20,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,0.0,,,0.0,,,,303.7817122936249
5,Coverage_alpha_investing,gamma_50,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,0.0,,,0.0,,,,316.6152470111847
5,Coverage_alpha_investing,gamma_100,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,5.0,3.862607955892633e-15,3.9345991678138136e-05,5.9648633598142914e-05,0.9428571428571428,1.0,0.9714285714285714,3.2113988399505615
5,Coverage_alpha_investing,gamma_150,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,5.0,3.862607955892633e-15,3.9345991678138136e-05,5.9648633598142914e-05,0.9428571428571428,1.0,0.9714285714285714,3.3505468368530273
5,Coverage_alpha_investing,gamma_200,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,5.0,3.862607955892633e-15,3.9345991678138136e-05,5.9648633598142914e-05,0.9428571428571428,1.0,0.9714285714285714,3.34214186668396
