num_max_hypo,threshold,method,adjustment,Candidates,Hypothesis,Without_Adjust,grouping_time,Best_pairs,Min_p_value,Max_p_value,Sum_p_value,Cov_period_1,Cov_period_2,Cov_total,p_value_adjustement_time
10.0,20,Coverage_Side_2,Bonferroni,0,0,0,0,20.0,2.0253686658408146e-22,1.646985102277121e-05,4.869237901136215e-05,0.5,0.8584905660377359,0.679245283018868,58.86818194389343
10.0,20,Coverage_alpha_investing,gamma_20,0,0,0,0,12.0,4.440892098500626e-16,0.0005130332803019444,0.0016805057711617444,0.785024154589372,0.789308176100629,0.7871661653450005,47.83182191848755
10.0,20,Coverage_alpha_investing,gamma_50,0,0,0,0,20.0,1.549760320074256e-12,0.00010122165056059007,0.00031057869068484845,0.8285024154589372,0.8616352201257862,0.8450688177923618,4.5668699741363525
10.0,20,Coverage_alpha_investing,gamma_100,0,0,0,0,20.0,1.549760320074256e-12,0.00010122165056059007,0.00027345524661870346,0.8260869565217391,0.8647798742138365,0.8454334153677878,5.082452058792114
10.0,20,Coverage_alpha_investing,gamma_200,0,0,0,0,20.0,1.549760320074256e-12,2.7094363958313217e-05,0.00010045909794464958,0.8381642512077294,0.8364779874213837,0.8373211193145566,5.696037292480469
10.0,15,Traditional,Benjamini,0,0,0,0,15.0,2.0253686658408146e-22,1.454392162258955e-13,5.827998881625012e-13,0.3309178743961353,0.15723270440251572,0.2440752893993255,58.32364583015442
10.0,15,Traditional,Bonferroni,0,0,0,0,15.0,2.0253686658408146e-22,1.454392162258955e-13,5.827998881625012e-13,0.3309178743961353,0.15723270440251572,0.2440752893993255,58.32114601135254
10.0,15,Coverage_Two_Sides,Benjamini,0,0,0,0,15.0,2.514304320300198e-10,0.0027495049767027133,0.012187114153724568,0.8429951690821256,0.8773584905660378,0.8601768298240817,58.56503176689148
10.0,15,Coverage_Two_Sides,Bonferroni,0,0,0,0,15.0,1.549760320074256e-12,1.6624854030311553e-05,5.1553649521696165e-05,0.7971014492753623,0.7138364779874213,0.7554689636313918,58.98016715049744
10.0,15,Coverage_Side_1,Benjamini,0,0,0,0,15.0,1.1427715253712799e-15,0.0027495049767027133,0.0030974994273935113,0.8768115942028986,0.5440251572327044,0.7104183757178015,58.59439182281494
10.0,15,Coverage_Side_1,Bonferroni,0,0,0,0,15.0,3.709252802389565e-21,1.1522425365506628e-05,2.9302234861878245e-05,0.8333333333333334,0.4716981132075472,0.6525157232704403,58.58110308647156
10.0,15,Coverage_Side_2,Benjamini,0,0,0,0,15.0,2.4386009655997348e-19,0.002123753087473923,0.0058689173038376855,0.5458937198067633,0.9150943396226415,0.7304940297147025,58.61846113204956
10.0,15,Coverage_Side_2,Bonferroni,0,0,0,0,15.0,2.4386009655997348e-19,1.646985102277121e-05,3.577453235115182e-05,0.4806763285024155,0.8018867924528302,0.6412815604776229,58.68886613845825
10.0,15,Coverage_alpha_investing,gamma_20,0,0,0,0,12.0,4.440892098500626e-16,0.0005130332803019444,0.0016805057711617444,0.785024154589372,0.789308176100629,0.7871661653450005,50.16029381752014
10.0,15,Coverage_alpha_investing,gamma_50,0,0,0,0,15.0,6.72140121338316e-12,0.00010122165056059007,0.00019913797822534995,0.782608695652174,0.7861635220125787,0.7843861088323762,3.702883243560791
10.0,15,Coverage_alpha_investing,gamma_100,0,0,0,0,15.0,6.72140121338316e-12,0.00010122165056059007,0.00019913797822534995,0.782608695652174,0.7861635220125787,0.7843861088323762,3.5285580158233643
10.0,15,Coverage_alpha_investing,gamma_200,0,0,0,0,15.0,6.72140121338316e-12,2.7094363958313217e-05,9.329191341311827e-05,0.7753623188405797,0.779874213836478,0.7776182663385289,4.014277935028076
10.0,10,Traditional,Benjamini,0,0,0,0,10.0,2.0253686658408146e-22,7.993605777301127e-15,1.4809788764271166e-14,0.18840579710144928,0.09433962264150944,0.14137270987147937,58.32211923599243
10.0,10,Traditional,Bonferroni,0,0,0,0,10.0,2.0253686658408146e-22,7.993605777301127e-15,1.4809788764271166e-14,0.18840579710144928,0.09433962264150944,0.14137270987147937,58.32122993469238
10.0,10,Coverage_Two_Sides,Benjamini,0,0,0,0,10.0,2.514304320300198e-10,0.0023241022334737904,0.00784750784562227,0.7705314009661836,0.7704402515723271,0.7704858262692553,58.53115701675415
10.0,10,Coverage_Two_Sides,Bonferroni,0,0,0,0,10.0,2.514304320300198e-10,1.6624854030311553e-05,4.39676586085902e-05,0.7198067632850241,0.6257861635220126,0.6727964634035184,58.934929847717285
10.0,10,Coverage_Side_1,Benjamini,0,0,0,0,10.0,1.2052937632625812e-08,0.0027495049767027133,0.0030966244887674845,0.8140096618357487,0.42452830188679247,0.6192689818612707,58.470518827438354
10.0,10,Coverage_Side_1,Bonferroni,0,0,0,0,10.0,1.549760320074256e-12,1.1522425365506628e-05,2.909839165752959e-05,0.7632850241545893,0.4088050314465409,0.5860450278005651,58.54751896858215
10.0,10,Coverage_Side_2,Benjamini,0,0,0,0,10.0,2.4386009655997348e-19,0.002123753087473923,0.0038784640395353245,0.48792270531400966,0.8301886792452831,0.6590556922796463,58.634657859802246
10.0,10,Coverage_Side_2,Bonferroni,0,0,0,0,10.0,2.4386009655997348e-19,9.787114496728755e-06,1.906651651062432e-05,0.4227053140096618,0.7138364779874213,0.5682708959985416,58.722777128219604
