grp1,grp1_size,grp2,grp2_size,grp3,grp3_size,p-value
60-64,33,50-54_115,42,35-39_110,28,0.03040748742717038
114,61,25-29,120,30-34,214,0.003416186734599543
25-29_221,28,25-29,120,30-34_221,80,0.01671577122481535
50-54_115,50,110,102,30-34_221,80,0.0461560495730026
50-54_115,50,35-39_221,88,35-39_221,92,0.0133630940332117
30-34_110,29,45-49_221,53,>65,49,0.02162836216023681
60-64,33,35-39_115,110,40-44_221,68,0.0009039742069188644
60-64_115,26,Unknown,45,>65,49,0.04706630072417637
60-64,33,40-44_221,70,30-34_115,80,0.005299747559152167
30-34_115,99,35-39_Others,28,45-49_115,51,0.025523658519186535
60-64_115,26,25-29_221,33,30-34_221,80,0.015270149138440514
30-34_221,79,>65,35,50-54,75,0.03030447113023794
50-54,80,30-34_115,57,30-34_221,80,0.03217620299107631
50-54,80,45-49_115,81,>65,49,0.03850301028715072
50-54,80,30-34_221,89,30-34,214,5.083629723061547e-06
35-39_Others,26,Others,121,50-54,75,0.030213042325557393
60-64,33,40-44_221,70,30-34_221,80,0.003399744108860847
30-34_110,29,45-49_221,53,25-29_221,44,0.006712219513235694
40-44_110,24,35-39_115,110,106,40,0.025706442503719017
30-34,255,40-44,236,35-39_115,132,0.00027357514007221486
30-34_110,29,50-54,74,45-49_115,51,0.017947124878773705
50-54,80,30-34_115,57,110,96,0.023334160694633888
45-49,183,25-29,120,40-44_115,93,0.007485107277161959
30-34_115,99,110,102,50-54,75,0.0058267572863937795
30-34_115,99,55-59,28,106,40,0.00712107003833386
30-34_110,29,25-29_115,50,25-29,110,7.000335378385916e-05
60-64_115,26,25-29_221,33,30-34_115,80,0.02530330662310927
40-44_221,74,30-34_221,89,50-54,75,0.01051858355812511
30-34_115,99,40-44_221,70,25-29,110,0.03066398091317303
Others,116,35-39_115,110,50-54,75,0.013805963748572857
30-34_221,79,55-59,28,30-34_115,80,0.023101642121828435
50-54_115,50,Others,121,Others,113,0.004592100895850719
30-34_110,29,30-34_Others,36,Unknown,35,0.026081696611726848
30-34_110,29,25-29,120,45-49_221,37,6.970678421323996e-05
60-64,33,45-49_115,81,106,40,0.0029575866355746466
30-34_115,99,55-59,28,50-54,75,0.005169640958101779
60-64,33,Others,121,>65,49,0.0005769116828867155
60-64,33,35-39_115,110,Unknown,35,0.0019004861960987016
50-54,80,Others,121,106,40,0.005512357827321939
50-54_115,50,<25,47,30-34_115,80,0.035133668226853806
30-34_115,99,55-59,28,<25,59,0.003032777714388627
30-34_221,79,110,102,40-44_221,68,0.023688784898850665
60-64,33,60-64,27,<25,59,0.005424173347950327
50-54,80,45-49_115,81,Others,113,0.01894608792177879
50-54,80,25-29,120,25-29,110,0.0007895526340574111
25-29,132,114,71,30-34,214,0.015799323797751345
35-39,303,30-34_221,89,40-44_221,68,0.022853143992968356
30-34_221,79,45-49_221,53,40-44_221,68,0.03607539952157219
30-34_110,29,35-39_114,21,<25_115,28,0.046135289085349473
50-54,80,30-34_221,89,35-39_221,92,0.0027935903207186056
60-64,33,25-29_221,33,30-34_115,80,0.006649792556949927
30-34_110,29,40-44_115,91,30-34_221,80,4.57775399691337e-05
30-34_221,79,>65,35,110,96,0.04291407129967038
30-34_110,29,25-29_221,33,25-29_221,44,0.007421924891208074
114,61,45-49_115,81,30-34,214,0.004815453978636537
30-34_110,29,35-39_114,21,<25,59,0.0021921848237484672
60-64_115,26,<25,47,25-29_221,44,0.04592414528234772
40-44_115,118,30-34_221,89,30-34,214,0.04775792165634299
30-34_110,29,<25,47,45-49_221,37,0.025626256630125566
