grp1,grp1_size,grp2,grp2_size,grp3,grp3_size,p-value
30-34_110,29,50-54,74,25-29,110,0.00021893699155201428
30-34_110,29,30-34_115,57,110,96,0.0009190276207355517
60-64,33,25-29,120,35-39_Others,36,0.0004719968327056906
50-54_115,50,45-49_115,81,Others,113,0.01974675728697608
50-54,80,30-34_221,89,110,96,0.0008704394430625843
60-64,33,114,71,>65,49,0.011275735275426227
30-34_110,29,35-39_114,21,114,55,0.03502758207712104
60-64,33,25-29_221,33,30-34_221,80,0.003764699177900511
50-54_115,50,35-39_115,110,50-54,75,0.011232509345979672
60-64,33,25-29,120,110,96,3.5540428789840835e-05
30-34_110,29,<25,47,<25,59,0.0012223498745435623
50-54,80,35-39_115,110,114,55,0.007782646698964171
35-39_115,126,30-34,223,45-49,138,0.0034407441434802168
30-34_110,29,45-49_115,81,45-49_221,37,0.0013030481237592164
60-64_115,26,25-29,120,35-39_Others,36,0.003263441128309982
60-64,33,Unknown,45,55-59,37,0.041804887888267216
50-54_115,50,35-39_115,110,>65,49,0.007465466017804752
60-64,33,35-39_110,29,<25_115,28,0.028728043132109738
30-34_115,99,>65,35,35-39_Others,36,0.03135095645494795
60-64_115,26,30-34_221,89,106,40,0.0017872232590729206
30-34_221,79,55-59,28,50-54_221,22,0.03548451654505661
30-34_115,99,30-34_221,89,40-44_221,68,0.0030631853318556306
60-64,33,<25,47,Others,113,0.01272806216157234
25-29,132,45-49_115,81,30-34,214,0.014250950509227598
30-34_110,29,25-29,120,<25,59,5.814970391128896e-06
25-29_221,28,45-49_115,81,110,96,0.043772741250551084
30-34_110,29,50-54_115,42,35-39_Others,36,0.019390742196463445
221,388,45-49,177,40-44,217,0.003778989891597322
30-34_110,29,35-39_110,29,106,40,0.007351141924027958
45-49_115,93,55-59,28,30-34_221,80,0.028193077558400236
60-64,33,25-29,120,50-54,75,0.0014606626143765322
60-64_115,26,35-39_114,21,30-34_221,80,0.01737278968967791
60-64,33,30-34_115,57,<25_115,28,0.04653274285734127
30-34_110,29,50-54,74,40-44_115,93,0.013056457245447635
30-34_110,29,Unknown,45,25-29,110,0.0001896836065334821
30-34_110,29,30-34_Others,36,110,96,0.00019745385397332223
40-44_110,24,35-39_115,110,110,96,0.014551408735653238
60-64,33,30-34_221,89,35-39_221,92,0.00011962515502642629
30-34_221,79,110,102,30-34_221,80,0.005276811236455034
30-34_115,99,110,102,45-49_115,51,0.006817880723452661
30-34_110,29,35-39_110,29,30-34_115,80,0.0012016641220529655
50-54_115,50,40-44_115,91,30-34_221,80,0.005331037142373281
30-34_115,99,30-34_221,89,Others,113,0.02491293697623338
<25_115,43,25-29,120,50-54,75,0.026940501576452683
60-64,33,Unknown,45,50-54_221,22,0.0255189937005974
40-44_110,24,25-29,120,45-49_221,37,0.023015712897065818
50-54_115,50,40-44_Others,21,25-29,110,0.019710115677442613
50-54_115,50,30-34_Others,36,30-34_221,80,0.013379819017432118
30-34_110,29,35-39_Others,28,30-34_115,80,0.003844918173618659
30-34_115,99,<25,47,30-34_221,80,0.033256673692003226
30-34_110,29,45-49_115,81,40-44_221,68,0.0021859398218430754
30-34_115,99,40-44_221,70,106,40,0.030750334612453818
40-44_115,118,110,102,30-34,214,0.0005372681609893106
60-64,33,30-34_115,57,114,55,0.046678567770200755
30-34_110,29,35-39_115,110,40-44_115,93,0.00020659051995091968
45-49_115,93,Others,121,40-44_115,93,0.021474842203946767
50-54,80,25-29,120,35-39_Others,36,0.005690400815882976
60-64,33,30-34_221,89,>65,49,0.0004385226476230131
45-49_115,93,40-44_115,91,50-54,75,0.015123181210641592
45-49,183,45-49,177,40-44_115,93,0.02126793776950201
30-34_221,79,>65,35,<25,59,0.03567165681314087
60-64,33,30-34_Others,36,35-39_Others,36,0.02576581308327039
25-29_115,71,25-29,120,50-54,75,0.018252649481870747
40-44_110,24,45-49_221,53,110,96,0.04322631036496468
30-34_110,29,45-49_115,81,50-54,75,0.009411443410729574
60-64,33,40-44_221,70,>65,49,0.04133012803993476
60-64_115,26,25-29,120,30-34_115,80,0.0015127805858218403
60-64_115,26,25-29,120,25-29,110,0.0007492999187344475
30-34_221,79,110,102,114,55,0.021573698557994177
30-34_115,99,>65,35,50-54_115,36,0.03868127571629013
35-39_221,108,40-44_Others,21,50-54,75,0.048695254962097485
30-34_115,99,<25,47,45-49_221,37,0.039559726064516014
40-44_114,24,25-29,120,30-34_221,80,0.03999768445866906
25-29_221,28,25-29,120,45-49_115,51,0.02905371740531251
30-34_110,29,Others,121,30-34_221,80,9.663284440473515e-06
35-39_221,108,Unknown,45,50-54,75,0.028501324368858633
60-64,33,35-39_Others,28,<25,59,0.00804762517753183
60-64,33,Others,121,35-39_221,92,0.00019945772473029162
40-44_110,24,25-29,120,Others,113,0.02205604379284433
50-54,80,40-44_115,91,30-34_221,80,0.005347819601708038
35-39_115,126,110,102,35-39_115,132,0.017417435808449337
45-49,183,114,71,50-54,75,0.006099716298992476
60-64,33,40-44_221,70,<25,59,0.0035309612132794505
60-64_115,26,35-39_115,110,35-39_Others,36,0.004949916340960417
50-54_115,50,Unknown,45,25-29,110,0.009577051728860725
40-44_110,24,30-34_221,89,>65,49,0.012949416266699426
40-44_110,24,30-34_221,89,25-29,110,0.00999288061155974
110,112,110,102,30-34,214,0.00021885677826453666
45-49,183,110,102,35-39_115,132,0.002673382021020263
30-34_110,29,30-34_115,57,114,55,0.018881911411219112
50-54,80,35-39_115,110,45-49,138,0.0036940265267456154
50-54_115,50,25-29,120,50-54,75,0.006910170470295028
60-64,33,50-54,74,114,55,0.02209812119028554
40-44_114,24,30-34_221,89,>65,49,0.040322026779444436
35-39_115,126,30-34,223,30-34,214,0.02993318015109965
35-39,303,110,102,40-44_221,68,0.0014108968400802283
>65,41,35-39_115,110,50-54,75,0.029031513252172875
40-44_110,24,30-34_221,89,110,96,0.005386287565129471
30-34_110,29,Others,121,30-34_115,80,3.2809122542619766e-05
50-54,80,55-59,28,<25,59,0.04260456352815929
25-29,132,Others,121,30-34,214,0.00973014297956754
40-44_110,24,Others,121,25-29,110,0.024702864222918265
30-34_110,29,<25,47,40-44_221,68,0.03852702528877838
50-54,80,30-34_221,89,45-49_221,37,0.006876703671689548
50-54,80,114,71,35-39_115,132,0.010182823410795697
60-64,33,35-39_115,110,110,96,5.6817073291241445e-05
30-34_110,29,25-29,120,114,55,7.061585306176923e-05
60-64_115,26,35-39_115,110,110,96,0.0007640565799171455
30-34_110,29,30-34_Others,36,30-34_221,80,0.0003348684443416998
30-34_221,79,35-39_221,88,45-49_115,51,0.04917729153943812
50-54,80,40-44_Others,21,<25,59,0.037980334303244524
60-64,33,40-44_221,70,45-49_221,37,0.047958245561247
40-44_110,24,Others,121,<25,59,0.010438041932486044
221,388,35-39,295,35-39,321,0.031221092887071478
25-29_221,28,25-29,120,<25,59,0.012865509090817623
30-34_110,29,50-54,74,110,96,0.0002312197173940779
40-44_221,74,30-34,223,45-49,138,0.0024382666399968066
60-64,33,25-29,120,50-54_115,36,0.0010967070330196924
50-54_115,50,60-64,27,110,96,0.02258017194346925
50-54_115,50,35-39_115,110,30-34_221,80,0.0016670438501250678
60-64,33,Others,121,45-49_221,37,0.0006296612039648471
30-34,255,45-49,177,Others,113,7.838467845485103e-05
30-34_115,99,35-39_115,110,Others,113,0.046184103230001265
30-34_115,99,45-49_221,53,45-49,138,0.018523022574377115
30-34_115,99,30-34_221,89,45-49_115,51,0.006396492132536933
60-64,33,35-39_110,29,25-29_115,29,0.023357807362948083
30-34_110,29,40-44_115,91,114,55,0.000831152953580903
30-34_110,29,40-44_115,91,110,96,3.152540805049254e-05
50-54,80,30-34,223,Others,113,1.1435266141576844e-06
60-64_115,26,Others,121,Unknown,35,0.009259690274615316
30-34_110,29,<25,47,114,55,0.02084574645993514
50-54,80,25-29,120,35-39_221,92,0.00230041151793703
30-34_115,99,50-54,74,40-44_221,68,0.012974650096029348
60-64,33,25-29_115,50,50-54_115,36,0.018181710663592934
60-64,33,35-39_221,88,114,55,0.003165816729941676
30-34_110,29,40-44_115,91,45-49_115,51,0.002122114260400038
60-64_115,26,45-49_115,81,45-49_221,37,0.020033994322978883
35-39,303,25-29,120,40-44_115,93,0.005872468580233821
50-54,80,35-39_115,110,>65,49,0.0073504297891296404
45-49,183,110,102,50-54,75,0.004752791699295211
25-29,132,40-44_221,70,30-34,214,0.01094041236276515
30-34_115,99,110,102,40-44_221,68,0.005605170667057451
50-54,80,35-39_115,110,45-49_115,51,0.011085941220047621
45-49,183,50-54,74,40-44_115,93,0.029520300253875142
50-54,80,50-54_115,42,<25,59,0.021963297503576378
50-54_115,50,45-49_115,81,45-49_221,37,0.03809624264841349
60-64,33,35-39_221,88,Others,113,0.0010902277407880251
30-34_115,99,40-44_Others,21,114,55,0.03673898165120771
30-34_110,29,>65,35,<25,59,0.004978602598499925
60-64,33,25-29,120,55-59,37,0.0010715247444588827
50-54_115,50,Others,121,35-39_Others,36,0.009050995394610593
50-54,80,Others,121,45-49_115,51,0.010635883840417025
114,61,35-39_115,110,110,96,0.04944031504520715
30-34_110,29,35-39_115,110,55-59,37,0.00046566008913311545
35-39_115,126,30-34,223,35-39_115,132,0.008051159638617772
60-64_115,26,25-29_115,50,>65,49,0.01946214840109758
30-34_115,99,45-49_221,53,45-49_221,37,0.017429005744679357
50-54_115,50,25-29,120,35-39_221,92,0.002463428358898111
50-54_115,50,25-29,120,30-34_221,80,0.0011515540845562571
60-64_115,26,25-29_115,50,30-34_221,80,0.0029163837203380898
30-34_110,29,35-39_110,29,25-29,110,0.00027042238877978596
30-34_110,29,Others,121,114,55,0.00012367040668207082
30-34_110,29,25-29_115,50,50-54,75,0.016159919100617995
50-54,80,Others,121,Others,113,0.003928045311674381
30-34_110,29,25-29,120,>65,49,6.180303843541246e-05
60-64,33,30-34_Others,36,<25,59,0.001723206993720714
30-34_110,29,30-34_221,89,30-34_221,80,5.108256171013757e-06
60-64,33,45-49_221,53,<25,59,0.003920479837182284
30-34_115,99,40-44_221,70,45-49_221,37,0.031354900720878556
35-39,303,110,102,40-44_115,93,0.0009234194313700216
30-34_115,99,>65,35,45-49_115,51,0.016527483253668162
60-64,33,45-49_115,81,50-54_115,36,0.012537888719462568
50-54,80,110,102,30-34_221,80,0.049378348494017954
60-64_115,26,35-39_115,110,45-49_115,51,0.00583903107708309
50-54_115,50,25-29_221,33,<25,59,0.02650265454118093
50-54,80,50-54_115,42,30-34_221,80,0.023700113268671757
40-44_115,118,30-34,223,35-39_221,92,0.001844372588254208
110,112,Others,121,50-54,75,0.010795193811070027
30-34_115,99,40-44_221,70,Others,113,0.02389738232903632
40-44_110,24,25-29,120,40-44_221,68,0.015196287489845438
50-54,80,>65,35,30-34_221,80,0.04881785822863561
50-54_115,50,30-34_221,89,106,40,0.004308942210432796
45-49,183,<25,47,50-54,75,0.008319624852874477
60-64,33,35-39_Others,28,110,96,0.003987595869775275
30-34_115,99,45-49_115,81,45-49_115,51,0.017655077011955296
60-64_115,26,25-29_115,50,50-54_115,36,0.04803528715503537
60-64,33,35-39_115,110,106,40,0.0004229357669993008
30-34_110,29,35-39_114,21,110,96,0.0007827461427928181
50-54,80,50-54,74,25-29,110,0.010958872521246329
Others,116,30-34_221,89,50-54,75,0.010135026930634563
25-29_221,28,25-29,120,110,96,0.01647849713626556
60-64_115,26,35-39_221,88,>65,49,0.013821509990098511
60-64,33,30-34_221,89,50-54,75,0.0029263383307301604
60-64_115,26,30-34_Others,36,>65,49,0.048627021266746194
60-64,33,45-49_115,81,35-39_Others,36,0.005877884116320954
30-34_115,99,55-59,28,Unknown,35,0.01505093809594071
40-44_110,24,114,71,110,96,0.045395690582724
40-44_110,24,Others,121,45-49_221,37,0.03751323887839878
40-44_110,24,25-29_115,50,106,40,0.046701627008985815
60-64,33,45-49_221,53,106,40,0.03760382055113427
30-34_110,29,30-34_221,89,Others,113,2.5367457915451657e-05
30-34_110,29,50-54,74,106,40,0.004371482950779632
25-29_221,28,Others,121,30-34_115,80,0.03741983373311454
25-29_221,28,Others,121,50-54,75,0.022000236550016185
60-64,33,25-29_115,50,45-49_221,37,0.006983035753897825
30-34_110,29,40-44_Others,21,110,96,0.0008190777857178481
25-29,132,30-34,223,30-34,214,0.00012826911295515654
114,61,40-44_221,70,30-34,214,0.0024532263140002275
110,112,30-34,223,40-44,217,0.0008632145929189205
60-64,33,Others,121,110,96,5.971148940451818e-05
40-44_110,24,35-39_115,110,35-39_Others,36,0.03588026674357317
30-34_110,29,25-29_115,50,Unknown,35,0.007930522131386846
30-34_115,99,35-39_115,110,45-49_115,51,0.01312065834456906
50-54_115,50,<25,47,<25,59,0.025002470936124416
50-54,80,40-44_115,91,Others,113,0.01607131259051379
30-34_115,99,40-44_Others,21,>65,49,0.04203879161333096
50-54_115,50,>65,35,110,96,0.031186393959360383
30-34_110,29,30-34_221,89,25-29,110,5.61636816452813e-06
40-44_110,24,55-59,28,25-29,110,0.029434326963871407
35-39_115,126,25-29,120,40-44_115,93,0.02441156779193244
30-34_115,99,<25,47,45-49_115,51,0.015738320424793194
30-34_115,99,>65,35,45-49_221,37,0.027751916559132003
50-54,80,40-44_221,70,25-29,110,0.015598503509222912
60-64,33,25-29_221,33,>65,49,0.04842300935519248
50-54,80,45-49_115,81,<25,59,0.0056511051519255485
50-54,80,25-29,120,35-39_115,132,0.0007622462892254637
45-49,183,110,102,30-34_221,80,0.0026981880654928514
60-64,33,>65,35,30-34_221,80,0.009626283419036017
60-64,33,30-34_115,57,30-34_221,80,0.005137843790773317
<25,90,35-39_115,110,50-54,75,0.013304187745572743
25-29_115,71,35-39_115,110,50-54,75,0.024733148117824854
60-64_115,26,Unknown,45,25-29,110,0.0059990159866307605
30-34_115,99,55-59,28,25-29,110,0.005225846196365944
30-34_221,79,Others,121,45-49_115,51,0.039401542790086605
60-64_115,26,35-39_115,110,<25,59,0.0007290195899131603
30-34,255,45-49,177,35-39_221,92,7.824059199091665e-05
40-44_110,24,Others,121,114,55,0.03888648908298892
30-34_110,29,40-44_221,70,45-49_115,51,0.04043519925136345
30-34_221,79,25-29,120,50-54,75,0.0017496642834828832
60-64_115,26,45-49_221,53,<25,59,0.012244487567306951
30-34_110,29,114,71,<25,59,0.00021911551029550383
30-34_110,29,60-64,27,110,96,0.000701398361466904
50-54,80,45-49_115,81,35-39_Others,36,0.045184221837172314
50-54_115,50,50-54,74,<25,59,0.015124437212116548
110,112,40-44_115,91,50-54,75,0.03592860102904006
35-39,303,35-39_115,110,40-44_221,68,0.037431921422448666
60-64_115,26,30-34_221,89,45-49_221,37,0.0026177667292185437
40-44_110,24,25-29,120,Unknown,35,0.03761968375935067
114,61,35-39_221,88,30-34,214,0.004390810695526024
35-39_115,126,114,71,50-54,75,0.04088929480448112
60-64,33,35-39_221,88,45-49_221,37,0.003162667954772719
30-34_110,29,Others,121,106,40,7.396715205879503e-05
30-34_115,99,35-39_114,21,50-54,75,0.006654411304785423
50-54,80,25-29,120,<25,59,0.0008682804415163389
30-34,255,30-34,223,35-39_115,132,5.10702352741257e-05
30-34_110,29,25-29_221,33,<25_115,28,0.025647003359440444
60-64_115,26,40-44_221,70,110,96,0.010759177415264646
30-34_110,29,30-34_115,57,>65,49,0.018280256521867266
114,61,Others,121,40-44_115,93,0.04307790959085548
25-29_221,28,25-29,120,40-44_221,68,0.02390169670521345
50-54,80,114,71,Others,113,0.03798462347687594
40-44_221,74,30-34,223,30-34,214,0.026599997733465143
50-54_115,50,45-49_115,81,30-34_221,80,0.0064271901200664274
30-34_110,29,114,71,40-44_115,93,0.006734176520523636
40-44_110,24,45-49_221,53,<25,59,0.03113253330339987
30-34,255,30-34,223,Others,113,5.3167168420755e-06
30-34_221,79,110,102,50-54,75,0.02449661320827655
40-44_110,24,25-29,120,50-54,75,0.010177735911506489
30-34,255,35-39,295,35-39_115,132,0.0011769580517083428
50-54,80,35-39_221,88,40-44_221,68,0.040826489063123875
60-64,33,114,71,35-39_Others,36,0.015222988011812117
50-54_115,50,50-54,74,30-34_221,80,0.018058169949139873
45-49_115,93,55-59,28,110,96,0.027143179647599748
30-34_221,79,Unknown,45,50-54,75,0.013118697980083312
40-44_110,24,35-39_115,110,114,55,0.032574466552257236
110,112,35-39_115,110,40-44_115,93,0.0359594781588203
30-34_110,29,35-39_110,29,45-49_221,37,0.013181052673188882
30-34_110,29,40-44_115,91,25-29,110,3.749216437957196e-05
30-34_221,79,35-39_Others,28,50-54,75,0.029566376003571124
25-29_221,28,35-39_115,110,30-34_115,80,0.034867172325596996
60-64,33,114,71,30-34_221,80,0.0009590599993127262
30-34_115,99,110,102,106,40,0.004405903457771802
45-49_221,38,Others,121,50-54,75,0.025900709529836637
114,61,30-34_221,89,40-44_115,93,0.02472849858104127
50-54_115,50,25-29,120,30-34_115,80,0.0021428298725395287
35-39_221,108,25-29_221,33,50-54,75,0.04607451217932707
60-64_115,26,45-49_115,81,25-29,110,0.0030204218282991295
30-34_110,29,25-29_115,50,<25_115,28,0.002347975551047551
30-34_110,29,30-34_Others,36,<25,59,0.00048427009309334664
30-34_110,29,30-34_Others,36,25-29,110,0.00020090181324054074
30-34,255,35-39,295,45-49,138,0.00020356869031928722
30-34_110,29,114,71,>65,49,0.0033197753027620564
30-34_110,29,30-34_115,57,25-29_221,44,0.0074881081303214735
30-34_110,29,35-39_115,110,35-39_221,92,2.8459658955280522e-05
30-34_115,99,35-39_221,88,40-44_115,93,0.0029851339655415816
50-54,80,Others,121,114,55,0.007644064673334978
50-54_115,50,30-34_221,89,35-39_221,92,0.002532370741802639
30-34_110,29,40-44_Others,21,35-39_110,28,0.046205346678385474
50-54,80,30-34_115,57,<25,59,0.02952508567337694
30-34_115,99,>65,35,55-59,37,0.03982988811856618
30-34_110,29,Unknown,45,35-39_110,28,0.0061048610155130965
30-34_115,99,45-49_221,53,50-54_115,36,0.027395522385240602
45-49_115,93,30-34_221,89,40-44_221,68,0.03129934455267567
30-34_110,29,110,102,Others,113,0.014685973882388735
25-29_221,28,25-29,120,25-29,110,0.02039693544441044
30-34_110,29,30-34_221,89,45-49_115,51,0.0002767427078733217
30-34_221,79,55-59,28,40-44_221,68,0.02239906086717807
30-34_221,79,45-49_221,53,<25,59,0.023891345358926997
30-34_115,99,110,102,Others,113,0.0031017346812306054
50-54,80,Others,121,25-29,110,0.0011608572224240704
60-64,33,Unknown,45,25-29_221,44,0.006346577202011087
50-54_115,50,40-44_115,91,40-44_115,93,0.04040136519295326
60-64_115,26,35-39_115,110,106,40,0.002987461595771138
30-34_110,29,55-59,28,<25,59,0.0052609276526758685
30-34_110,29,35-39_Others,28,110,96,0.0011387771711525508
30-34_221,79,>65,35,40-44_221,68,0.04695546923601015
110,112,45-49_115,81,50-54,75,0.040272846287620685
30-34_110,29,Unknown,45,30-34_115,80,0.000776439147559978
40-44_110,24,35-39_115,110,>65,49,0.03097613627626713
30-34_110,29,45-49_221,53,<25_115,28,0.02437029466039782
50-54,80,40-44_115,91,40-44_221,68,0.04552101942887592
60-64_115,26,30-34_115,57,110,96,0.017041219765045114
25-29,132,35-39_115,110,30-34,214,0.008877743900640072
30-34_110,29,30-34_Others,36,45-49_221,37,0.00873842274838283
60-64,33,25-29_115,50,30-34_115,80,0.0012061215489258868
45-49,183,35-39_115,110,40-44_221,68,0.03985973203858188
60-64,33,35-39_114,21,30-34_115,80,0.008657296384103294
30-34_110,29,40-44_221,70,35-39_Others,36,0.022035965336171498
50-54,80,25-29_221,33,110,96,0.02101185432808444
45-49,183,30-34,223,45-49,138,0.003931077217921595
50-54_115,50,35-39_115,110,114,55,0.007946844737775037
60-64_115,26,30-34_221,89,50-54,75,0.007410338586014894
45-49,183,30-34_221,89,45-49_115,51,0.03749621429067537
30-34,255,45-49,177,35-39_115,132,0.00014197242003955577
60-64,33,35-39_Others,28,30-34_221,80,0.006575347002285445
50-54,80,Others,121,30-34,214,1.0050180243213474e-05
45-49_115,93,35-39_221,88,50-54,75,0.013919630554377739
Unknown,46,25-29,120,50-54,75,0.011594060927983782
60-64,33,<25,47,25-29_115,29,0.040548498234340535
30-34_115,99,35-39_115,110,40-44_221,68,0.006927297836238604
30-34_110,29,55-59,28,30-34_115,80,0.005381833823312621
30-34_110,29,>65,35,106,40,0.0468773725061508
35-39,303,30-34,223,35-39_221,92,0.011128482241485115
110,112,Others,121,40-44_115,93,0.04247377829489565
40-44_110,24,45-49_115,81,110,96,0.031598663993836346
30-34_110,29,35-39_Others,28,35-39_110,28,0.0451486598390127
60-64,33,Unknown,45,45-49_221,37,0.01889468896691316
50-54_115,50,40-44_115,91,25-29,110,0.004298750212126696
60-64,33,<25,47,<25,59,0.003950581988868793
30-34_110,29,40-44_115,91,40-44_221,68,0.0014904691982509852
30-34_110,29,>65,35,110,96,0.0018901986119305458
40-44_110,24,45-49_115,81,30-34_221,80,0.03077689272191251
40-44_110,24,25-29_115,50,30-34_115,80,0.04467372354383381
Others,116,110,102,35-39_115,132,0.036433982254761604
35-39_115,126,110,102,30-34_221,80,0.016681924135207686
60-64,33,35-39_114,21,<25,59,0.006208133149831211
30-34_110,29,<25,47,110,96,0.0005332665084764797
40-44_110,24,35-39_115,110,35-39_221,92,0.022374103468023557
40-44_221,74,110,102,25-29,110,0.02490094722952955
30-34_115,99,50-54,74,114,55,0.04214546150126269
60-64,33,40-44_115,91,40-44_115,93,0.005666277959839553
60-64,33,Others,121,40-44_115,93,0.0008122470724209537
40-44_114,24,35-39_115,110,110,96,0.04985575109887046
30-34_110,29,<25,47,>65,49,0.019866312270737704
>65,41,25-29,120,50-54,75,0.019679034652890497
40-44_110,24,25-29,120,35-39_221,92,0.016342755096067734
114,61,25-29,120,110,96,0.04034333367955699
60-64_115,26,25-29,120,<25,59,0.0005055227171274994
30-34_110,29,30-34_Others,36,<25_115,28,0.008708057607829719
25-29_221,28,Others,121,<25,59,0.0174841682381315
60-64,33,40-44_115,91,30-34_221,80,0.0002941317772968998
40-44_110,24,30-34_221,89,30-34_221,80,0.004460555595027466
30-34_221,79,40-44_Others,21,50-54,75,0.02545118437802209
60-64,33,Others,121,55-59,37,0.0016768347521736722
60-64_115,26,35-39_221,88,30-34_221,80,0.0022572192752364326
30-34_110,29,<25,47,106,40,0.013946938725627476
50-54,80,30-34_221,89,25-29,110,0.0008638948980304406
60-64_115,26,35-39_115,110,50-54_115,36,0.009258275596530564
60-64,33,35-39_Others,28,25-29_221,44,0.032610787573322066
60-64,33,40-44_115,91,>65,49,0.0031371981786873578
30-34_110,29,35-39_115,110,30-34_221,80,9.489985118747173e-06
40-44_110,24,Others,121,110,96,0.017974622654579574
Others,116,25-29,120,50-54,75,0.00986499743674812
60-64,33,30-34_115,57,>65,49,0.04482261773683163
60-64,33,Unknown,45,<25_115,28,0.01737460939490809
30-34_221,79,55-59,28,50-54_115,36,0.04917252733352296
30-34_115,99,30-34_115,57,40-44_221,68,0.03144612216364027
Others,116,30-34,223,40-44_115,93,3.6713292466002194e-05
110,112,25-29,120,40-44_115,93,0.02581845143320207
30-34_110,29,50-54_115,42,55-59,37,0.03902773029179758
30-34_115,99,45-49_221,53,45-49_115,51,0.010133527291578862
60-64,33,40-44_115,91,50-54,75,0.015388824462481208
30-34_115,99,45-49_115,81,40-44_221,68,0.010868409168123086
50-54_115,50,25-29,120,40-44_115,93,0.004756903946828936
30-34_115,99,40-44_221,70,45-49,138,0.028295675789829597
30-34_110,29,45-49_221,53,110,96,0.0005339601277512787
114,61,25-29,120,40-44_115,93,0.025787781249835266
30-34_110,29,25-29_115,50,106,40,0.0013101370007670224
30-34_115,99,50-54,74,Others,113,0.03739192957293181
50-54_115,50,35-39_221,88,45-49_221,37,0.028280715325019832
50-54,80,40-44_115,91,>65,49,0.03169322735877001
40-44_110,24,Others,121,30-34_221,80,0.016865275704281008
40-44_114,24,25-29,120,50-54,75,0.01510888307459524
60-64,33,25-29,120,30-34_221,80,4.41521581763404e-05
60-64_115,26,Unknown,45,106,40,0.034675335353940344
30-34_115,99,>65,35,25-29,110,0.022666004877204805
60-64_115,26,Others,121,30-34_221,80,0.0009429951741081566
40-44_110,24,Others,121,106,40,0.03161943254537444
35-39_115,126,110,102,106,40,0.048097856159341076
30-34_221,79,55-59,28,25-29_115,29,0.027247158332145364
60-64,33,45-49_221,53,30-34_221,80,0.003558335040985079
50-54,80,40-44_221,70,110,96,0.020241827738639778
40-44_110,24,30-34_221,89,50-54,75,0.013873684288440977
40-44_110,24,Others,121,40-44_115,93,0.018951466158504616
60-64_115,26,25-29,120,45-49_221,37,0.002706792782536238
60-64,33,55-59,28,30-34_115,80,0.012299079172580597
35-39_115,126,35-39_115,110,40-44_115,93,0.031986731117844794
30-34_110,29,25-29,120,Unknown,35,0.0002713759253877625
40-44_221,74,110,102,30-34,214,0.00034747271367919146
60-64_115,26,35-39_221,88,106,40,0.009650147070812071
30-34,255,40-44_115,91,45-49,138,0.0001476894454613365
30-34_221,79,55-59,28,45-49_115,51,0.02807946665528968
30-34_221,79,55-59,28,114,55,0.028097818962214843
60-64_115,26,25-29,120,114,55,0.0027897793943815535
60-64,33,55-59,28,110,96,0.0047976625105665355
25-29_221,28,35-39_115,110,45-49_115,51,0.040783781586175655
30-34_110,29,35-39_110,29,Unknown,35,0.03792778307738898
50-54,80,45-49_115,81,25-29,110,0.0042888272374272465
50-54,80,Others,121,>65,49,0.007215157376453771
30-34_110,29,40-44_221,70,<25,59,0.0010447375767123775
40-44_Others,30,Others,121,50-54,75,0.030644561944537945
50-54,80,35-39_221,88,110,96,0.003698025871819265
60-64,33,45-49_115,81,25-29,110,0.0003197362629499541
60-64,33,25-29_115,50,25-29_221,44,0.002449909932722427
50-54,80,25-29,120,>65,49,0.004744502161893045
25-29_115,71,Others,121,50-54,75,0.025450885994045713
40-44_110,24,30-34_221,89,45-49_221,37,0.012104587030289184
30-34_115,99,>65,35,106,40,0.026743103261253752
30-34_110,29,50-54,74,50-54,75,0.04440411064022123
30-34_110,29,114,71,106,40,0.002221110110621699
35-39_115,126,55-59,28,110,96,0.04141620986153438
30-34_110,29,40-44_221,70,35-39_221,92,0.0033676326220334297
60-64,33,35-39_221,88,50-54,75,0.014215199917148412
30-34_110,29,110,102,110,96,0.0033662442676780802
50-54,80,40-44_Others,21,30-34_221,80,0.039083972143253175
30-34_110,29,35-39_115,110,45-49_115,51,0.00030676307256559984
60-64,33,30-34_Others,36,>65,49,0.01762960020325554
60-64,33,25-29_115,50,50-54,75,0.031393534379028906
60-64,33,35-39_221,88,45-49_115,51,0.006595004042900943
30-34_221,79,55-59,28,>65,49,0.02735217090625475
60-64_115,26,35-39_115,110,>65,49,0.003918920325208102
25-29,132,50-54,74,30-34,214,0.014135940010335173
30-34_110,29,Unknown,45,30-34_221,80,0.0003066099463481921
60-64,33,50-54,74,45-49_115,51,0.04749664188411838
30-34_110,29,30-34_115,57,25-29,110,0.0007939466633603402
50-54_115,50,40-44_221,70,25-29,110,0.016280919855389025
30-34_115,99,35-39_115,110,45-49,138,0.045440822724428905
50-54_115,50,40-44_Others,21,110,96,0.02363456133516119
60-64,33,60-64,27,106,40,0.04579146704137119
45-49,183,Others,121,40-44_221,68,0.04612195113052688
30-34_110,29,25-29_115,50,25-29_221,44,0.0007199465866474442
30-34_110,29,40-44_115,91,50-54,75,0.00650547981311393
60-64_115,26,50-54,74,106,40,0.04684903111571863
45-49_115,93,40-44_221,70,50-54,75,0.049009048562790716
30-34_115,99,45-49_221,53,50-54,75,0.004465189529915387
30-34_110,29,<25,47,35-39_Others,36,0.030535819675444605
30-34_110,29,Unknown,45,45-49_115,51,0.01541247970482121
30-34_115,99,40-44_221,70,>65,49,0.02852890765886282
40-44_110,24,50-54,74,<25,59,0.0346091605491144
25-29,132,30-34,223,Others,113,0.0008965608121379798
