grp1,grp1_size,grp2,grp2_size,p-value
115_110411,85,110411,72,1.4848733354000387e-10
Others,117,25-29,194,0.0080114531576847
115_130315,41,106,36,0.00663698960816006
Unknown,71,115_110411,30,1.1249907672095105e-09
35-39_221,109,50-54,128,0.006745384322384029
115_110411,85,35-39_221,170,0.00013846371674242075
Others,117,50-54_115,49,0.0002284520865708517
Unknown,71,115_130315,26,0.0009314024797806297
Unknown,71,106,36,0.01607868418189906
>65,55,120103,70,0.017604188346432292
120103,93,45-49_Others,22,0.01889044982971444
35-39,385,40-44,386,0.00027290458934003947
115_110401,68,45-49_Others,22,0.015889999168457347
130308,22,40-44_110,52,0.00034786434472422467
<25_115_110411,21,120103,70,0.004660056856937711
40-44_110411,24,25-29_115,104,0.0039368445887622006
45-49_115,189,110411,72,6.106226635438361e-15
Unknown,71,221_110411,34,0.00012811076831731327
35-39_110401,21,45-49_115,65,0.01994166879482695
>65,55,45-49_115,65,0.004489326922854864
30-34_221,85,40-44_115,140,0.03378710558586917
50-54_115,62,106,36,0.024514963958706337
130308,22,130315,48,0.0004746864724316513
<25_110411,29,55-59,51,0.0487157674010511
25-29,126,45-49_221,50,0.004626924280389022
110411,115,110411,72,2.5014545990131865e-11
115_110401,68,100511,30,0.00011574254975943443
<25_115_110411,21,50-54_115,49,0.015080723612122982
130308,22,35-39_Others,40,0.029206404814523523
110401,96,45-49,178,0.0002447613501482815
<25_110411,29,50-54_115,49,0.0036702115055914364
100511,31,60-64,52,0.030762816631548562
115_130315,41,60-64,52,0.04132990889733268
40-44_110411,24,110401,76,0.019703099029042326
50-54_115,62,45-49_221,50,0.017801155846117855
110401,96,25-29,194,0.00010664219996958657
130308,22,120103,70,0.01890086584199313
<25_115,141,110,157,0.006007283099899174
115_110411,85,30-34_221,169,0.007360231567360542
60-64,88,100511,30,0.0007108991235854623
110411,115,30-34_221,169,0.004875776681035338
45-49_221,21,45-49_Others,22,0.012007963788609022
110411,115,40-44,386,5.551115123125783e-16
30-34_221,85,35-39_221,170,0.0343288767583233
<25_115,141,100511,30,0.0010229495483780049
120103,93,130315,48,0.017634601786115978
50-54,80,115_110411,30,1.9658763505958632e-10
Others,117,45-49_115,65,0.048044201605451975
<25,177,110411,72,7.194245199571014e-14
130308,22,50-54_221,47,0.03398438455651431
115_110401,68,130315,48,0.016426259002641275
221,368,35-39,443,4.674945990634782e-05
115_130315,41,40-44_110,52,1.2577559511672831e-05
115_100205,44,115_130315,26,0.028039190619344012
110,72,40-44_110,52,0.04381754779252167
115_110401,68,115_110411,30,1.784314530572928e-07
130308,22,>65,72,0.016060824971976584
35-39_221,109,45-49_221,50,0.00449333169675592
115_130315,41,110401,76,0.007385986888220342
100511,31,114,42,0.014917425567857467
40-44_221,72,100511,30,0.00329277440822473
55-59,53,115_110411,30,1.5489416083092067e-08
40-44_115,293,30-34_221,169,6.218309765881891e-06
<25,177,30-34_221,169,0.0002917309502760146
40-44_115,293,45-49,178,0.030674988778317203
40-44_221,72,45-49_Others,22,0.027749150809700418
