grp1,grp1_size,grp2,grp2_size,p-value
france_35-44_70's,13,norm,0,8.746231208567076e-22
australia_>56,203,norm,0,2.96e-322
malaysia_80's,115,norm,0,0.0
malaysia_25-34,749,norm,0,0.0
australia,3363,norm,0,0.0
australia_50-55,155,norm,0,0.0
finland_<18_2000's,23,norm,0,6.551294487585604e-104
singapore_80's,16,norm,0,4.156226800575894e-105
united kingdom_35-44_90's,853,norm,0,0.0
50-55_70's,287,norm,0,0.0
australia_>56_90's,98,norm,0,0.0
20's,36,norm,0,5.831574013753189e-236
usa_35-44_60's,90,norm,0,3.2539280220751266e-149
greece,26,norm,0,3.3190765018431475e-37
usa_25-34_50's,172,norm,0,0.0
australia_80's,304,norm,0,0.0
france_18-24_90's,224,norm,0,0.0
canada_35-44_70's,77,norm,0,0.0
china_<18,18,norm,0,1.6981871595222724e-214
singapore_2000's,81,norm,0,2.312262629860576e-151
japan_25-34_80's,12,norm,0,6.155763522445196e-79
ireland_35-44,46,norm,0,6.970330773517466e-77
united kingdom_50-55_90's,182,norm,0,0.0
canada_35-44_50's,11,norm,0,2.1474724457772228e-72
usa_90's,94534,norm,0,0.0
usa_18-24_80's,1822,norm,0,0.0
austria_70's,11,norm,0,2.1474724457772228e-72
30's,33,norm,0,2.4758413329222578e-216
usa_35-44_2000's,21387,norm,0,0.0
portugal_25-34_50's,11,norm,0,2.1474724457772228e-72
taiwan_35-44,164,norm,0,4.377475426734479e-261
canada_80's,2364,norm,0,0.0
germany_18-24_80's,32,norm,0,2.9557033643082153e-92
australia_<18,128,norm,0,0.0
portugal_35-44_90's,165,norm,0,0.0
portugal_18-24_80's,22,norm,0,2.0685309790204168e-99
18-24_2000's,7638,norm,0,0.0
romania,514,norm,0,0.0
netherlands_>56_2000's,28,norm,0,1.2792374664997095e-183
germany_>56_90's,26,norm,0,3.8248280176856346e-43
spain_25-34_2000's,555,norm,0,0.0
netherlands_35-44_2000's,200,norm,0,0.0
50-55_60's,39,norm,0,1.3735636054569947e-255
taiwan_80's,17,norm,0,2.417877590371334e-21
spain_45-49_90's,93,norm,0,0.0
iran_18-24,64,norm,0,0.0
kuwait,31,norm,0,2.5165603637117694e-37
portugal_35-44_2000's,152,norm,0,9.571e-320
france_45-49_80's,40,norm,0,3.93734166641206e-262
18-24_90's,10881,norm,0,0.0
india,42,norm,0,2.1328675081258067e-189
usa_50-55_90's,8262,norm,0,0.0
united kingdom_18-24_90's,276,norm,0,0.0
usa_25-34_90's,32134,norm,0,0.0
45-49_60's,52,norm,0,0.0
dominican republic_2000's,82,norm,0,0.0
malaysia_18-24_80's,39,norm,0,1.3735636054569947e-255
mexico_35-44,15,norm,0,4.526773799278644e-25
35-44_80's,6139,norm,0,0.0
portugal_50-55,25,norm,0,5.431104855589986e-164
<18_70's,215,norm,0,0.0
canada_18-24_90's,1010,norm,0,0.0
czech republic_90's,23,norm,0,6.609666273585798e-151
belgium_90's,73,norm,0,0.0
germany_50-55,80,norm,0,7.24008365733523e-132
philippines_90's,100,norm,0,2.9699449125071154e-170
spain_<18,102,norm,0,0.0
50-55_80's,2102,norm,0,0.0
germany_45-49,259,norm,0,0.0
taiwan_90's,83,norm,0,7.007967681979952e-156
poland_2000's,38,norm,0,2.119842078222409e-171
norway_25-34_90's,30,norm,0,1.6220301322458437e-86
norway_2000's,61,norm,0,1.775778542731459e-175
germany_45-49_90's,116,norm,0,1.4211431921782923e-232
qatar,102,norm,0,0.0
romania_25-34,163,norm,0,0.0
france_25-34,897,norm,0,0.0
qatar_25-34,70,norm,0,0.0
spain_25-34_70's,29,norm,0,3.6669543063562245e-190
austria_2000's,284,norm,0,0.0
new zealand_45-49_2000's,11,norm,0,2.1474724457772228e-72
usa_80's,20372,norm,0,0.0
switzerland_25-34_80's,14,norm,0,5.058136942590047e-92
>56_2000's,9183,norm,0,0.0
35-44_70's,849,norm,0,0.0
netherlands_2000's,551,norm,0,0.0
russia_18-24,14,norm,0,5.058136942590047e-92
italy_25-34_2000's,148,norm,0,0.0
china_25-34,190,norm,0,0.0
new zealand_35-44_90's,67,norm,0,0.0
usa_<18_80's,818,norm,0,0.0
australia_25-34_80's,138,norm,0,1.0001999666658288e-295
trinidad and tobago,27,norm,0,1.8597120775815206e-33
denmark_25-34_2000's,27,norm,0,4.4626912663187784e-177
belgium_25-34_90's,56,norm,0,2.1790900241259892e-252
canada_<18_90's,219,norm,0,0.0
canada_50-55_70's,24,norm,0,1.8946712272133442e-157
singapore_25-34,51,norm,0,1.781139707827454e-87
usa_>56_70's,200,norm,0,0.0
portugal_90's,1125,norm,0,0.0
90's,120112,norm,0,0.0
dominican republic,146,norm,0,0.0
denmark_25-34_90's,51,norm,0,6.838324573930905e-230
80's,25626,norm,0,0.0
south korea_2000's,13,norm,0,1.7645592900984735e-85
brazil_80's,43,norm,0,9.27397852188504e-282
60's,575,norm,0,0.0
iran_25-34,210,norm,0,0.0
switzerland_>56_80's,11,norm,0,2.1474724457772228e-72
<18_90's,3719,norm,0,0.0
germany_35-44_80's,85,norm,0,2.380191728728309e-244
italy_18-24_90's,54,norm,0,0.0
united kingdom_18-24_2000's,277,norm,0,0.0
slovenia,21,norm,0,1.0898086261483758e-60
israel_18-24,11,norm,0,8.178720105310867e-11
netherlands_25-34,468,norm,0,0.0
spain_25-34_80's,97,norm,0,0.0
austria_25-34_80's,25,norm,0,5.431104855589986e-164
singapore_90's,95,norm,0,0.0
denmark_18-24,17,norm,0,1.1913889456558053e-111
netherlands_18-24_2000's,20,norm,0,2.062205042861729e-90
switzerland_45-49_90's,16,norm,0,2.0496111488997776e-72
canada_45-49_80's,147,norm,0,0.0
malaysia_18-24_2000's,209,norm,0,0.0
germany_80's,362,norm,0,0.0
usa_18-24_50's,63,norm,0,6.965155547027833e-284
australia_60's,14,norm,0,1.7999560311167512e-16
united kingdom_25-34_80's,219,norm,0,0.0
hong kong,56,norm,0,1.4537129119158781e-80
australia_<18_90's,57,norm,0,0.0
philippines_35-44,23,norm,0,6.609666273585798e-151
new zealand_18-24,113,norm,0,0.0
united kingdom_>56_2000's,152,norm,0,9.571e-320
usa_20's,30,norm,0,1.0511382160887883e-196
australia_70's,38,norm,0,4.791753264215119e-249
25-34,89568,norm,0,0.0
switzerland_<18_2000's,11,norm,0,7.010121129959073e-12
germany_<18,86,norm,0,1.0037997970587111e-141
brazil_25-34_2000's,43,norm,0,4.480624503478753e-71
iran_35-44_80's,26,norm,0,1.556834744136414e-170
<18,7420,norm,0,0.0
romania_<18,15,norm,0,1.4499229055979413e-98
australia_18-24_90's,215,norm,0,0.0
switzerland_18-24_2000's,25,norm,0,2.2522032746026888e-35
malaysia_25-34_80's,60,norm,0,2.192479504717037e-270
poland,104,norm,0,0.0
trinidad and tobago_25-34,24,norm,0,5.212058730163294e-29
spain_<18_2000's,48,norm,0,1.7948895295e-314
france_35-44_80's,26,norm,0,1.556834744136414e-170
iceland_90's,17,norm,0,1.1913889456558053e-111
france_50-55_2000's,45,norm,0,1.460741536985333e-129
denmark_2000's,35,norm,0,2.0343771271237862e-229
poland_25-34_2000's,21,norm,0,8.043978050471968e-138
usa_<18_60's,36,norm,0,5.831574013753189e-236
spain_45-49,210,norm,0,0.0
united kingdom_70's,127,norm,0,0.0
