group1,group2,coverage_gained_1,coverage_gained_2,p-value,n,algorithm,samples,wealth,alpha_j,nb_refus_before
>56_self-employed_Long_50's,1,0.0206185567010309,0.0,1.8351047101281382e-05,-1,TRAD_BN,20.0,,,
F_50-55_executive-managerial_70's,1,0.0222813435317592,0.0,0.0006599275525999,-1,TRAD_BN,20.0,,,
unemployed_Long_30's,1,0.0249418024609245,0.0,0.0006599275525999,-1,TRAD_BN,20.0,,,
>56_artist_Long_2000's,1,0.0261057532424343,0.0,0.0015214322653226,-1,TRAD_BN,20.0,,,
M_doctor-health care_20's,1,0.0284336548054539,0.0,0.0018002486106697,-1,TRAD_BN,20.0,,,
doctor-health care_Long_20's,1,0.0290987695377452,0.0,0.0025241297068125,-1,TRAD_BN,20.0,,,
F_<18_K-12 student_2000's,1,0.006817426005986,0.0,1.589939176998122e-11,-1,COVER_G_BY,20.0,,,
M_25-34_college-grad student_30's,1,0.0114732291320252,0.0,5.85509393074879e-06,-1,COVER_G_BY,20.0,,,
35-44_artist_Long_2000's,1,0.0154639175257731,0.0,1.7430706686422954e-07,-1,COVER_G_BY,20.0,,,
M_>56_self-employed_Long_80's,1,0.0182906551380113,0.0,1.7748125196144841e-12,-1,COVER_G_BY,20.0,,,
unemployed_Long_30's,1,0.0209511140671765,0.0,0.0006599275525999,-1,COVER_G_BY,20.0,,,
M_doctor-health care_20's,1,0.0232790156301962,0.0,0.0018002486106697,-1,COVER_G_BY,20.0,,,
F_50-55_executive-managerial_70's,1,0.0249418024609245,0.0,0.0006599275525999,-1,COVER_G_BY,20.0,,,
F_18-24_writer_70's,1,0.0264383106085799,0.0,1.3095471396225747e-05,-1,COVER_G_BY,20.0,,,
>56_artist_Long_2000's,1,0.0276022613900897,0.0,0.0015214322653226,-1,COVER_G_BY,20.0,,,
doctor-health care_Long_20's,1,0.0282673761223811,0.0,0.0025241297068125,-1,COVER_G_BY,20.0,,,
F_18-24_K-12 student_Long,1,0.0287662121715996,0.0,3.6170210951655312e-06,-1,COVER_G_BY,20.0,,,
M_50-55_customer service_2000's,1,0.029265048220818,0.0,0.0049954123083075,-1,COVER_G_BY,20.0,,,
M_18-24_doctor-health care_50's,1,0.0297638842700365,0.0,0.0119214959381596,-1,COVER_G_BY,20.0,,,
>56_self-employed_50's,1,0.0300964416361822,0.0,1.8351047101281382e-05,-1,COVER_G_BY,20.0,,,
M_25-34_unemployed_50's,1,0.030262720319255,0.0,0.0059347090072011,-1,COVER_G_BY,20.0,,,
F_<18_K-12 student_2000's,1,0.006817426005986,0.0,1.589939176998122e-11,-1,COVER_G_BN,20.0,,,
M_25-34_college-grad student_30's,1,0.0114732291320252,0.0,5.85509393074879e-06,-1,COVER_G_BN,20.0,,,
35-44_artist_Long_2000's,1,0.0154639175257731,0.0,1.7430706686422954e-07,-1,COVER_G_BN,20.0,,,
M_>56_self-employed_Long_80's,1,0.0182906551380113,0.0,1.7748125196144841e-12,-1,COVER_G_BN,20.0,,,
unemployed_Long_30's,1,0.0209511140671765,0.0,0.0006599275525999,-1,COVER_G_BN,20.0,,,
M_doctor-health care_20's,1,0.0232790156301962,0.0,0.0018002486106697,-1,COVER_G_BN,20.0,,,
F_50-55_executive-managerial_70's,1,0.0249418024609245,0.0,0.0006599275525999,-1,COVER_G_BN,20.0,,,
F_18-24_writer_70's,1,0.0264383106085799,0.0,1.3095471396225747e-05,-1,COVER_G_BN,20.0,,,
>56_artist_Long_2000's,1,0.0276022613900897,0.0,0.0015214322653226,-1,COVER_G_BN,20.0,,,
doctor-health care_Long_20's,1,0.0282673761223811,0.0,0.0025241297068125,-1,COVER_G_BN,20.0,,,
F_18-24_K-12 student_Long,1,0.0287662121715996,0.0,3.6170210951655312e-06,-1,COVER_G_BN,20.0,,,
>56_self-employed_50's,1,0.0290987695377452,0.0,1.8351047101281382e-05,-1,COVER_G_BN,20.0,,,
F_<18_K-12 student_2000's,1,0.006817426005986,0.0,1.589939176998122e-11,-1,COVER_𝛂_100,20.0,0.0167813616119509,3.920103966022952e-05,0.0
M_25-34_college-grad student_30's,1,0.0114732291320252,0.0,5.85509393074879e-06,-1,COVER_𝛂_100,20.0,0.0127708616013508,3.239549889406154e-05,0.0
35-44_artist_Long_2000's,1,0.0154639175257731,0.0,1.7430706686422954e-07,-1,COVER_𝛂_100,20.0,0.011023717289224,2.9992404018281636e-05,0.0
M_>56_self-employed_Long_80's,1,0.0182906551380113,0.0,1.7748125196144841e-12,-1,COVER_𝛂_100,20.0,0.0070609853520805,2.52423693746655e-05,0.0
F_18-24_writer_70's,1,0.0197871632856667,0.0,1.3095471396225747e-05,-1,COVER_𝛂_100,20.0,0.0020218399809753,1.836652150104746e-05,0.0
F_<18_K-12 student_2000's,1,0.006817426005986,0.0,1.589939176998122e-11,-1,COVER_𝛂_200,20.0,0.0321378225763423,1.96051738482451e-05,0.0
M_25-34_college-grad student_30's,1,0.0114732291320252,0.0,5.85509393074879e-06,-1,COVER_𝛂_200,20.0,0.0301321325146548,1.6201595499087073e-05,0.0
35-44_artist_Long_2000's,1,0.0154639175257731,0.0,1.7430706686422954e-07,-1,COVER_𝛂_200,20.0,0.0292583668312037,1.4999762761439315e-05,0.0
M_>56_self-employed_Long_80's,1,0.0182906551380113,0.0,1.7748125196144841e-12,-1,COVER_𝛂_200,20.0,0.0272765577809575,1.2624181506951331e-05,0.0
F_18-24_K-12 student_Long,1,0.0187894911872297,0.0,3.6170210951655312e-06,-1,COVER_𝛂_200,20.0,0.0229917960884737,5.303216982401597e-06,0.0
M_>56_self-employed_Long_80's,1,0.0028267376122381,0.0,1.7748125196144841e-12,25,TRAD_BY,20.0,,,
F_<18_K-12 student_2000's,1,0.0096441636182241,0.0,1.589939176998122e-11,25,TRAD_BY,20.0,,,
35-44_artist_Long_2000's,1,0.013634852011972,0.0,1.7430706686422954e-07,25,TRAD_BY,20.0,,,
F_18-24_K-12 student_Long,1,0.0141336880611905,0.0,3.6170210951655312e-06,25,TRAD_BY,20.0,,,
M_25-34_college-grad student_30's,1,0.0187894911872297,0.0,5.85509393074879e-06,25,TRAD_BY,20.0,,,
F_18-24_writer_70's,1,0.0202859993348852,0.0,1.3095471396225747e-05,25,TRAD_BY,20.0,,,
>56_self-employed_50's,1,0.0206185567010309,0.0,1.8351047101281382e-05,25,TRAD_BY,20.0,,,
>56_self-employed_Long_50's,1,0.0206185567010309,0.0,1.8351047101281382e-05,25,TRAD_BY,20.0,,,
F_50-55_executive-managerial_70's,1,0.0222813435317592,0.0,0.0006599275525999,25,TRAD_BY,20.0,,,
unemployed_Long_30's,1,0.0249418024609245,0.0,0.0006599275525999,25,TRAD_BY,20.0,,,
>56_artist_Long_2000's,1,0.0261057532424343,0.0,0.0015214322653226,25,TRAD_BY,20.0,,,
M_doctor-health care_20's,1,0.0284336548054539,0.0,0.0018002486106697,25,TRAD_BY,20.0,,,
doctor-health care_Long_20's,1,0.0290987695377452,0.0,0.0025241297068125,25,TRAD_BY,20.0,,,
M_50-55_customer service_2000's,1,0.0295976055869637,0.0,0.0049954123083075,25,TRAD_BY,20.0,,,
M_25-34_unemployed_50's,1,0.0297638842700365,0.0,0.0059347090072011,25,TRAD_BY,20.0,,,
M_18-24_doctor-health care_50's,1,0.030262720319255,0.0,0.0119214959381596,25,TRAD_BY,20.0,,,
